protein	locus	connectivity
ENSMUSP00000074259	ENSMUSG00000000001	123
ENSMUSP00000000003	ENSMUSG00000000003	16
ENSMUSP00000111249	ENSMUSG00000000028	97
ENSMUSP00000076593	ENSMUSG00000000037	3
ENSMUSP00000000049	ENSMUSG00000000049	66
ENSMUSP00000099304	ENSMUSG00000000056	2
ENSMUSP00000000058	ENSMUSG00000000058	26
ENSMUSP00000000080	ENSMUSG00000000078	51
ENSMUSP00000101908	ENSMUSG00000000085	19
ENSMUSP00000000090	ENSMUSG00000000088	111
ENSMUSP00000000095	ENSMUSG00000000093	184
ENSMUSP00000000096	ENSMUSG00000000094	19
ENSMUSP00000069364	ENSMUSG00000000103	10
ENSMUSP00000000122	ENSMUSG00000000120	115
ENSMUSP00000000127	ENSMUSG00000000125	72
ENSMUSP00000000128	ENSMUSG00000000126	40
ENSMUSP00000000129	ENSMUSG00000000127	33
ENSMUSP00000076864	ENSMUSG00000000134	153
ENSMUSP00000051331	ENSMUSG00000000142	110
ENSMUSP00000000153	ENSMUSG00000000149	56
ENSMUSP00000056082	ENSMUSG00000000154	29
ENSMUSP00000109403	ENSMUSG00000000157	48
ENSMUSP00000109425	ENSMUSG00000000159	28
ENSMUSP00000034567	ENSMUSG00000000168	91
ENSMUSP00000000175	ENSMUSG00000000171	92
ENSMUSP00000000186	ENSMUSG00000000182	61
ENSMUSP00000000187	ENSMUSG00000000183	51
ENSMUSP00000000188	ENSMUSG00000000184	95
ENSMUSP00000000201	ENSMUSG00000000197	6
ENSMUSP00000000208	ENSMUSG00000000204	12
ENSMUSP00000000219	ENSMUSG00000000214	93
ENSMUSP00000101554	ENSMUSG00000000215	144
ENSMUSP00000000221	ENSMUSG00000000216	28
ENSMUSP00000108850	ENSMUSG00000000223	2
ENSMUSP00000009396	ENSMUSG00000000244	14
ENSMUSP00000000253	ENSMUSG00000000247	29
ENSMUSP00000000254	ENSMUSG00000000248	1
ENSMUSP00000000260	ENSMUSG00000000253	51
ENSMUSP00000075032	ENSMUSG00000000263	15
ENSMUSP00000000271	ENSMUSG00000000266	9
ENSMUSP00000103528	ENSMUSG00000000275	21
ENSMUSP00000000285	ENSMUSG00000000276	38
ENSMUSP00000000287	ENSMUSG00000000278	36
ENSMUSP00000000291	ENSMUSG00000000282	33
ENSMUSP00000000299	ENSMUSG00000000290	90
ENSMUSP00000000304	ENSMUSG00000000295	1
ENSMUSP00000000305	ENSMUSG00000000296	10
ENSMUSP00000099754	ENSMUSG00000000301	45
ENSMUSP00000000312	ENSMUSG00000000303	186
ENSMUSP00000000314	ENSMUSG00000000305	33
ENSMUSP00000000317	ENSMUSG00000000308	10
ENSMUSP00000000326	ENSMUSG00000000317	8
ENSMUSP00000000327	ENSMUSG00000000318	4
ENSMUSP00000000329	ENSMUSG00000000320	70
ENSMUSP00000111281	ENSMUSG00000000325	10
ENSMUSP00000111272	ENSMUSG00000000326	68
ENSMUSP00000000348	ENSMUSG00000000339	23
ENSMUSP00000000349	ENSMUSG00000000340	39
ENSMUSP00000000356	ENSMUSG00000000346	140
