Ensembl Gene ID	UCSC ID
ENSMUSG00000064336	
ENSMUSG00000064337	
ENSMUSG00000064338	
ENSMUSG00000064339	
ENSMUSG00000064340	
ENSMUSG00000064341	
ENSMUSG00000064342	
ENSMUSG00000064343	
ENSMUSG00000064344	
ENSMUSG00000064345	
ENSMUSG00000064346	
ENSMUSG00000064347	
ENSMUSG00000064348	
ENSMUSG00000064349	
ENSMUSG00000064350	
ENSMUSG00000064351	
ENSMUSG00000064352	
ENSMUSG00000064353	
ENSMUSG00000064354	
ENSMUSG00000064355	
ENSMUSG00000064356	
ENSMUSG00000064357	
ENSMUSG00000064358	
ENSMUSG00000064359	
ENSMUSG00000064360	
ENSMUSG00000064361	
ENSMUSG00000065947	
ENSMUSG00000064363	
ENSMUSG00000064364	
ENSMUSG00000064365	
ENSMUSG00000064366	
ENSMUSG00000064367	
ENSMUSG00000064368	
ENSMUSG00000064369	
ENSMUSG00000064370	
ENSMUSG00000064371	
ENSMUSG00000064372	
ENSMUSG00000051777	uc008plq.1
ENSMUSG00000008438	uc007ock.1
ENSMUSG00000102067	uc008pdl.1
ENSMUSG00000086670	
ENSMUSG00000081320	
ENSMUSG00000082347	
ENSMUSG00000102585	
ENSMUSG00000056904	
ENSMUSG00000074305	
ENSMUSG00000103464	
ENSMUSG00000104311	
ENSMUSG00000074305	uc009psz.2
ENSMUSG00000081054	
ENSMUSG00000074305	
ENSMUSG00000074305	uc029xbg.1
ENSMUSG00000082737	
ENSMUSG00000064057	uc007iqw.2
ENSMUSG00000064057	uc007iqv.2
ENSMUSG00000102562	
ENSMUSG00000024011	
ENSMUSG00000102575	
ENSMUSG00000048349	uc007uxb.2
ENSMUSG00000048349	
ENSMUSG00000067321	
ENSMUSG00000103916	
ENSMUSG00000024011	uc008bso.1
ENSMUSG00000024011	uc008bsp.1
ENSMUSG00000024011	uc008bsq.1
ENSMUSG00000020381	
ENSMUSG00000087613	
ENSMUSG00000083773	
ENSMUSG00000086600	uc008ews.1
ENSMUSG00000102208	
ENSMUSG00000020381	uc007irv.2
ENSMUSG00000094221	uc012fcy.1
ENSMUSG00000020381	
ENSMUSG00000089800	
ENSMUSG00000084366	
ENSMUSG00000103645	
ENSMUSG00000078182	uc033iig.1
ENSMUSG00000103733	
ENSMUSG00000103417	
ENSMUSG00000098061	
ENSMUSG00000102265	
ENSMUSG00000074442	uc009lbm.2
ENSMUSG00000089956	
ENSMUSG00000100325	
ENSMUSG00000040867	uc007pal.1
ENSMUSG00000100098	
ENSMUSG00000100325	
ENSMUSG00000086600	uc008ewt.1
ENSMUSG00000040867	
ENSMUSG00000086600	uc008ewu.1
ENSMUSG00000092035	uc009avv.1
ENSMUSG00000040867	
ENSMUSG00000096294	uc029wdn.1
ENSMUSG00000086600	uc008ewu.1
ENSMUSG00000096701	
ENSMUSG00000084825	
ENSMUSG00000101180	
ENSMUSG00000104184	
ENSMUSG00000092035	uc009avv.1
ENSMUSG00000002032	
ENSMUSG00000099056	
ENSMUSG00000092035	
ENSMUSG00000095629	uc009ffj.1
ENSMUSG00000093557	
ENSMUSG00000019370	uc009fin.1
ENSMUSG00000092035	uc009avv.1
ENSMUSG00000095066	uc009lbq.2
ENSMUSG00000086037	
ENSMUSG00000019370	
ENSMUSG00000095455	
ENSMUSG00000093774	
ENSMUSG00000019370	
ENSMUSG00000037683	uc008imd.2
ENSMUSG00000086060	
ENSMUSG00000019370	
ENSMUSG00000089779	
ENSMUSG00000037683	uc008imc.3
ENSMUSG00000102126	
ENSMUSG00000102156	
ENSMUSG00000099726	
ENSMUSG00000095589	
ENSMUSG00000051687	uc009fdq.1
ENSMUSG00000081891	
ENSMUSG00000104264	
ENSMUSG00000023906	uc008asw.3
ENSMUSG00000084103	
ENSMUSG00000079502	
ENSMUSG00000082099	
ENSMUSG00000091221	
ENSMUSG00000100279	
ENSMUSG00000103737	
ENSMUSG00000104270	
ENSMUSG00000003190	uc009gsk.2
ENSMUSG00000082055	
ENSMUSG00000095163	uc012fdo.1
ENSMUSG00000022798	uc007zfn.1
ENSMUSG00000103998	
ENSMUSG00000059972	
ENSMUSG00000098151	
ENSMUSG00000083091	
ENSMUSG00000022798	
ENSMUSG00000104308	
ENSMUSG00000083309	
ENSMUSG00000091421	
ENSMUSG00000100602	
ENSMUSG00000015652	uc008wjb.2
ENSMUSG00000080710	
ENSMUSG00000104177	
ENSMUSG00000091627	
ENSMUSG00000015652	
ENSMUSG00000100655	
ENSMUSG00000079502	uc012bte.1
ENSMUSG00000084871	
ENSMUSG00000100956	
ENSMUSG00000003190	uc012fjz.1
ENSMUSG00000079502	
ENSMUSG00000091273	
ENSMUSG00000090964	
ENSMUSG00000003190	uc012fjz.1
ENSMUSG00000002032	uc009pem.1
ENSMUSG00000093649	
ENSMUSG00000003190	uc012fjz.1
ENSMUSG00000079502	uc012bte.1
ENSMUSG00000003190	uc009gsk.2
ENSMUSG00000079502	
ENSMUSG00000076776	
ENSMUSG00000003190	uc009gsl.1
ENSMUSG00000002032	uc009pem.1
ENSMUSG00000103828	
ENSMUSG00000092148	
ENSMUSG00000101670	
ENSMUSG00000084908	uc008jij.1
ENSMUSG00000104244	
ENSMUSG00000099917	uc007ptf.1
ENSMUSG00000058207	uc007oxd.1
ENSMUSG00000093444	
ENSMUSG00000084925	
ENSMUSG00000047824	
ENSMUSG00000087507	uc007icp.1
ENSMUSG00000091430	
ENSMUSG00000084925	uc007ska.1
ENSMUSG00000047824	uc008pzo.1
ENSMUSG00000101086	
ENSMUSG00000084925	
ENSMUSG00000047824	
ENSMUSG00000084925	
ENSMUSG00000047824	
ENSMUSG00000070873	uc009exf.2
ENSMUSG00000084925	
ENSMUSG00000045761	
ENSMUSG00000026735	uc012brh.1
ENSMUSG00000047824	uc008pzp.1
ENSMUSG00000045761	
ENSMUSG00000104490	
ENSMUSG00000069270	uc007puk.1
ENSMUSG00000087165	uc007jad.1
ENSMUSG00000087165	uc007jad.1
ENSMUSG00000002608	uc009ftr.1
ENSMUSG00000057799	uc007ptg.1
ENSMUSG00000047824	
ENSMUSG00000087165	uc007jad.1
