ENSMUSG00000029780	Q9D020	SUBUNIT: Monomer.
ENSMUSG00000033701	Q9D061	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000017176	Q3UFY7	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000036639	P53368	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000028973	Q9CXJ4	SUBUNIT: Monomer. {ECO:0000305}.
ENSMUSG00000020532	Q5SWU9	SUBUNIT: Monomer, homodimer, and homotetramer. Can form filamentous polymers. Interacts in its inactive phosphorylated form with the BRCT domains of BRCA1 which prevents ACACA dephosphorylation and inhibits lipid synthesis. Interacts with MID1IP1; interaction with MID1IP1 promotes oligomerization and increases its activity. {ECO:0000269|PubMed:12360400, ECO:0000269|PubMed:20952656}.
ENSMUSG00000030945	Q8K0L3	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000000673	Q78JT3	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_03019}.
ENSMUSG00000042010	E9Q4Z2	SUBUNIT: Monomer, homodimer, and homotetramer. Can form filamentous polymers. Interacts with MID1IP1; interaction with MID1IP1 promotes oligomerization and increases its activity. {ECO:0000250|UniProtKB:O00763}.
ENSMUSG00000026385	P31786	SUBUNIT: Monomer.
ENSMUSG00000026348	Q8R519	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000022477	Q99KI0	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000072949	O55137	SUBUNIT: Monomer.
ENSMUSG00000021226	Q9QYR9	SUBUNIT: Monomer.
ENSMUSG00000046723	Q9R160	SUBUNIT: Monomer.
ENSMUSG00000025894	Q9CQF6	SUBUNIT: Monomer. Interacts with FASN (By similarity). {ECO:0000250}.
ENSMUSG00000039197	P55264	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000029094	Q80YS6	SUBUNIT: Monomer and homomultimer. Interacts via its C-terminus with F-actin; probably involving AFAP1 multimers. Interacts with activated SRC SH3-SH2 domains. Interacts via its PH 1 domain with PRKCA, PRKCB and PRKCI (By similarity). {ECO:0000250}.
ENSMUSG00000020910	Q99KS6	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000059708	A2A3V1	SUBUNIT: Monomer. Component of the spliceosome (By similarity). {ECO:0000250}.
ENSMUSG00000021207	Q91WR5	SUBUNIT: Monomer. {ECO:0000269|PubMed:15577209, ECO:0000269|PubMed:17034817, ECO:0000269|PubMed:17442338, ECO:0000269|PubMed:17909281, ECO:0000269|PubMed:19237748}.
ENSMUSG00000052131	P21300	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000001864	Q9EQX4	SUBUNIT: Homodimer (Potential). Monomer (By similarity). {ECO:0000250, ECO:0000305}.
ENSMUSG00000029762	P45377	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000079036	P0CB42	SUBUNIT: Monomer (By similarity). Interacts with DNAJB6 (PubMed:18163532). {ECO:0000250|UniProtKB:Q13686, ECO:0000269|PubMed:18163532}.
ENSMUSG00000033533	Q91VA0	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000018861	Q61578	SUBUNIT: Monomer. Interacts directly with FDX1. {ECO:0000250|UniProtKB:P08165}.
ENSMUSG00000041926	Q8VCT3	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000024397	O70200	SUBUNIT: Homodimer (Potential). Monomer. Interacts with LCP1. {ECO:0000269|PubMed:14756805, ECO:0000269|PubMed:17011575, ECO:0000305}.
ENSMUSG00000036932	Q9Z0X1	SUBUNIT: Monomer (oxidized form). Homodimer (reduced form). Interacts with XIAP/BIRC4. Interacts (via N-terminus) with EIF3G (via C-terminus). Interacts with PRELID1 (By similarity). {ECO:0000250}.
ENSMUSG00000028692	Q9JII6	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000026335	P97467	SUBUNIT: Monomer. Interacts with RASSF9 (By similarity). {ECO:0000250}.
ENSMUSG00000027712	P48036	SUBUNIT: Monomer. Binds ATRX and EIF5B (By similarity). {ECO:0000250}.
ENSMUSG00000025037	Q64133	SUBUNIT: Monomer, homo- or heterodimer (containing two subunits of similar size). Each subunit contains a covalently bound flavin. Enzymatically active as monomer (By similarity). {ECO:0000250}.
ENSMUSG00000041936	A2ASQ1	SUBUNIT: Monomer (By similarity). Interacts (N-terminal subunit) with TGF-beta family members, BMP2 AND BMP4; the interactions inhibit the activity of these growth factors. Interacts with TGFB1; the interaction enhances the activity of TGFB1. Interacts with DAG1; the interaction is influenced by cell surface glycosaminoglycans and by alternative splicing of AGRN (By similarity). Component of the AGRN-LRP4 complex that consists of a tetramer of two AGRN-LRP4 heterodimers. Interacts (via the laminin G-like 3 domain) directly with LRP4; the interaction is required for activation of MUSK and clustering of AChR and requires the 'z8' insert present in the z(+8) isoforms. {ECO:0000250, ECO:0000269|PubMed:8653787}.
ENSMUSG00000001642	P45376	SUBUNIT: Monomer.
ENSMUSG00000040147	Q8BW75	SUBUNIT: Monomer, homo- or heterodimer (containing two subunits of similar size). Each subunit contains a covalently bound flavin. Enzymatically active as monomer (By similarity). {ECO:0000250}.
ENSMUSG00000021214	Q8K023	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000074264	P00687	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000005681	P09813	SUBUNIT: Monomer. Interacts with APOA1BP and NDRG1 (By similarity). {ECO:0000250|UniProtKB:P02652}.
ENSMUSG00000093931	P00688	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000096770	P00688	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000096569	P00688	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000074268	P00688	SUBUNIT: Monomer. {ECO:0000250}.
ENSMUSG00000028333	Q9EST5	SUBUNIT: Monomer. Interacts with histones H3 and H4 (By similarity). {ECO:0000250}.
ENSMUSG00000019979	O88879	SUBUNIT: Monomer. Oligomerizes to a heptameric ring, known as the apoptosome, upon binding of cytochrome c and dATP. Oligomeric Apaf-1 and pro-caspase-9 bind to each other via their respective NH2-terminal CARD domains and consecutively mature caspase-9 is released from the complex (By similarity). Interacts with UACA. It may also interact with Bcl-XL. Interacts with APIP. Interacts (via CARD and NACHT domains) with NAIP/BIRC1 (via NACHT domain) (By similarity). {ECO:0000250}.
ENSMUSG00000035960	P28352	SUBUNIT: Monomer. Homodimer; disulfide-linked. Component of the SET complex, composed of at least APEX1, SET, ANP32A, HMGB2, NME1 and TREX1. Associates with the dimer XRCC5/XRCC6 in a DNA-dependent manner. Interacts with SIRT1; the interaction is increased in the context of genotoxic stress. Interacts with HDAC1, HDAC2 and HDAC3; the interactions are not dependent on the APEX1 acetylation status. Interacts with XRCC1; the interaction is induced by SIRT1 and increased with the APEX1 acetylated form. Interacts with NPM1 (via N-terminal domain); the interaction is RNA-dependent and decreases in hydrogen peroxide-damaged cells. Interacts (via N-terminus) with YBX1 (via C-terminus); the interaction is increased in presence of APEX1 acetylated at Lys-6 and Lys-7. Interacts with HNRNPL; the interaction is DNA-dependent. Interacts (via N-terminus) with KPNA1 and KPNA2. Interacts with TXN; the interaction stimulates the FOS/JUN AP-1 complex DNA-binding activity in a redox-dependent manner. Interacts with GZMA, KRT8, MDM2, POLB, PRDX6, PRPF19, RPLP0, TOMM20 and WDR77. Binds to CDK5. {ECO:0000269|PubMed:20473298}.
ENSMUSG00000027193	O35841	SUBUNIT: Monomer. Interacts with FGF2 and ACIN1 (By similarity). {ECO:0000250}.
ENSMUSG00000042558	Q8CG72	SUBUNIT: Monomer. {ECO:0000269|PubMed:18323597}.
ENSMUSG00000022911	Q640N2	SUBUNIT: Monomer. Interacts with IFT complex B components IFT46 and IFT74 (By similarity). Interacts with PIFO. {ECO:0000250, ECO:0000269|PubMed:20643351}.
ENSMUSG00000028207	Q8BSY0	SUBUNIT: Monomer. Isoform 2 interacts with CASQ2. {ECO:0000250|UniProtKB:Q12797, ECO:0000250|UniProtKB:Q28056}.
ENSMUSG00000015971	Q8R2S9	SUBUNIT: Component of the chromatin remodeling INO80 complex; specifically part of a complex module associated with the DBINO domain of INO80. Exists as monomers and dimers, but the dimer is most probably the biologically relevant form required for stable interactions with histones that exploits the twofold symmetry of the nucleosome core (By similarity). {ECO:0000250}.
ENSMUSG00000030850	Q9Z2A5	SUBUNIT: Monomer. Interacts with LIAT1. {ECO:0000269|PubMed:25369936, ECO:0000305}.
ENSMUSG00000018909	Q8BWG8	SUBUNIT: Monomer. Homodimer. Homooligomer; the self-association is mediated by InsP6-binding. Heterooligomer with ARRB2; the association is mediated by InsP6-binding. Interacts with ADRB2 (phosphorylated). Interacts with CHRM2 (phosphorylated). Interacts with LHCGR. Interacts with CYTH2 and CASR. Interacts with AP2B1 (dephosphorylated); phosphorylation of AP2B1 disrupts the interaction. Interacts (dephosphorylated at Ser-412) with CLTC. Interacts with CCR2 and ADRBK1. Interacts with CRR5. Interacts with PTAFR (phosphorylated on serine residues). Interacts with CLTC and MAP2K3. Interacts with CREB1. Interacts with TRAF6. Interacts with IGF1R and MDM2. Interacts with C5AR1. Interacts with PDE4D. Interacts with SRC (via the SH3 domain and the protein kinase domain); the interaction is independent of the phosphorylation state of SRC C-terminus. Interacts with TACR1. Interacts with RAF1. Interacts with DVL1; the interaction is enhanced by phosphorylation of DVL1. Interacts with DVL2; the interaction is enhanced by phosphorylation of DVL2. Interacts with IGF1R. Interacts with CHUK, IKBKB and MAP3K14. Associates with MAP kinase p38. Part of a MAPK signaling complex consisting of TACR1, ARRB1, SRC, MAPK1 (activated) and MAPK3 (activated). Part of a MAPK signaling complex consisting of F2RL1, ARRB1, RAF1, MAPK1 (activated) and MAPK3 (activated). Interacts with GPR143 (By similarity). Interacts with MAP2K4/MKK4. Interacts with HCK and CXCR1 (phosphorylated) (By similarity). Interacts with ACKR3 and ACKR4 (By similarity). {ECO:0000250}.
ENSMUSG00000056055	P20443	SUBUNIT: Monomer. Homodimer. Homotetramer. {ECO:0000269|PubMed:21288033}.
ENSMUSG00000066113	Q8BLI0	SUBUNIT: Monomer. {ECO:0000250|UniProtKB:Q96RW4}.
