Ensembl Gene ID	UniProt Gene Name
ENSMUSG00000064372	
ENSMUSG00000064371	
ENSMUSG00000064370	Q7JCZ3
ENSMUSG00000064370	P00158
ENSMUSG00000064369	
ENSMUSG00000064368	Q7JCY4
ENSMUSG00000064368	P03925
ENSMUSG00000064367	Q9MD82
ENSMUSG00000064367	P03921
ENSMUSG00000064366	
ENSMUSG00000064365	
ENSMUSG00000064364	
ENSMUSG00000064363	Q7JCY6
ENSMUSG00000064363	P03911
ENSMUSG00000065947	Q9MD77
ENSMUSG00000065947	P03903
ENSMUSG00000064361	
ENSMUSG00000064360	Q7GIP5
ENSMUSG00000064360	P03899
ENSMUSG00000064359	
ENSMUSG00000064358	Q7JCX7
ENSMUSG00000064358	P00416
ENSMUSG00000064357	Q7JCY9
ENSMUSG00000064357	P00848
ENSMUSG00000064356	Q7JCZ0
ENSMUSG00000064356	P03930
ENSMUSG00000064355	
ENSMUSG00000064354	Q7JCZ1
ENSMUSG00000064354	P00405
ENSMUSG00000064353	
ENSMUSG00000064352	
ENSMUSG00000064351	Q9MD68
ENSMUSG00000064351	P00397
ENSMUSG00000064350	
ENSMUSG00000064349	
ENSMUSG00000064348	
ENSMUSG00000064347	
ENSMUSG00000064346	
ENSMUSG00000064345	Q9MD59
ENSMUSG00000064345	P03893
ENSMUSG00000064344	
ENSMUSG00000064343	
ENSMUSG00000064342	
ENSMUSG00000064341	Q4JFN6
ENSMUSG00000064341	P03888
ENSMUSG00000064340	
ENSMUSG00000064339	
ENSMUSG00000064338	
ENSMUSG00000064337	
ENSMUSG00000064336	
ENSMUSG00000104634	
ENSMUSG00000022474	Q545Q8
ENSMUSG00000022474	D6RG76
ENSMUSG00000022474	Q91W01
ENSMUSG00000022474	O35621
ENSMUSG00000061882	E9PVD1
ENSMUSG00000028642	Q9D4Y8
ENSMUSG00000025328	Q9Z184
ENSMUSG00000066415	Q69ZF8
ENSMUSG00000075567	Q3V2D6
ENSMUSG00000099336	
ENSMUSG00000081221	
ENSMUSG00000028174	Q91ZQ5
ENSMUSG00000107199	
ENSMUSG00000081313	
ENSMUSG00000048170	Q8R3C0
ENSMUSG00000090364	
ENSMUSG00000073538	
ENSMUSG00000080816	
ENSMUSG00000019785	Q8BG92
ENSMUSG00000001767	P63154
ENSMUSG00000033054	Q8BMA5
ENSMUSG00000017310	Q9D263
ENSMUSG00000027581	Q545T6
ENSMUSG00000027581	O70166
ENSMUSG00000087269	
ENSMUSG00000105129	
ENSMUSG00000041775	Q9D7G9
ENSMUSG00000106681	
ENSMUSG00000027968	Q05CL8
ENSMUSG00000094215	
ENSMUSG00000087288	
ENSMUSG00000067081	Q8VHA6
ENSMUSG00000104186	
ENSMUSG00000085911	
ENSMUSG00000020439	Q921U8
ENSMUSG00000093458	
ENSMUSG00000083274	
ENSMUSG00000101911	
ENSMUSG00000028246	Q3UMF9
ENSMUSG00000084110	
ENSMUSG00000097529	
ENSMUSG00000029714	Q99MR1
ENSMUSG00000082346	
ENSMUSG00000089798	G3X9D1
ENSMUSG00000100194	Q8K5B9
ENSMUSG00000069581	
ENSMUSG00000084848	
ENSMUSG00000092495	
ENSMUSG00000041815	Q3UDD3
ENSMUSG00000041815	Q8BG81
ENSMUSG00000104383	
ENSMUSG00000107396	
ENSMUSG00000108607	
ENSMUSG00000041301	P26361
ENSMUSG00000105464	
ENSMUSG00000030144	Q4KL29
ENSMUSG00000030144	Q9Z2H6
ENSMUSG00000090163	
ENSMUSG00000084346	
ENSMUSG00000100151	
ENSMUSG00000090873	
ENSMUSG00000106370	
ENSMUSG00000090095	
ENSMUSG00000086450	
ENSMUSG00000002345	K7N7F1
ENSMUSG00000002345	Q9D6Y4
ENSMUSG00000105070	
ENSMUSG00000020864	Q5SUE8
ENSMUSG00000105851	
ENSMUSG00000106483	
ENSMUSG00000100957	
ENSMUSG00000094832	
ENSMUSG00000081686	
ENSMUSG00000087350	
ENSMUSG00000082936	
ENSMUSG00000048175	
ENSMUSG00000106853	
ENSMUSG00000108137	
ENSMUSG00000046844	Q80TB8
ENSMUSG00000103027	
ENSMUSG00000076432	A3KML3
ENSMUSG00000076432	P68254
ENSMUSG00000085992	
ENSMUSG00000105156	
ENSMUSG00000022621	E9Q9D5
ENSMUSG00000032058	Q3TTF6
ENSMUSG00000032058	H3BKU1
ENSMUSG00000032058	Q7TNP2
ENSMUSG00000099781	
ENSMUSG00000105348	
ENSMUSG00000057037	Q61406
ENSMUSG00000074593	Q32ZM2
ENSMUSG00000100227	
ENSMUSG00000107882	
