Mouse_gene_Ensembl_id	Zebrafish_ortholog_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000037032	ENSDARG00000076560	ENSGT00390000000002
ENSMUSG00000006050	ENSDARG00000053771	ENSGT00390000000002
ENSMUSG00000022829	ENSDARG00000006383	ENSGT00390000000018
ENSMUSG00000020782	ENSDARG00000023920	ENSGT00390000000018
ENSMUSG00000020536	ENSDARG00000009693	ENSGT00390000000018
ENSMUSG00000027282	ENSDARG00000019732	ENSGT00390000000020
ENSMUSG00000050549	ENSDARG00000057006	ENSGT00390000000023
ENSMUSG00000020097	ENSDARG00000061375	ENSGT00390000000046
ENSMUSG00000013822	ENSDARG00000043601	ENSGT00390000000053
ENSMUSG00000031601	ENSDARG00000032116	ENSGT00390000000080
ENSMUSG00000020515	ENSDARG00000020043	ENSGT00390000000080
ENSMUSG00000046791	ENSDARG00000067838	ENSGT00390000000083
ENSMUSG00000030835	ENSDARG00000078592	ENSGT00390000000089
ENSMUSG00000037846	ENSDARG00000053558	ENSGT00390000000104
ENSMUSG00000034607	ENSDARG00000054060	ENSGT00390000000141
ENSMUSG00000025290	ENSDARG00000039347	ENSGT00390000000153
ENSMUSG00000009894	ENSDARG00000063445	ENSGT00390000000182
ENSMUSG00000022235	ENSDARG00000073786	ENSGT00390000000183
ENSMUSG00000022749	ENSDARG00000044357	ENSGT00390000000191
ENSMUSG00000020739	ENSDARG00000046061	ENSGT00390000000204
ENSMUSG00000050447	ENSDARG00000004307	ENSGT00390000000220
ENSMUSG00000026820	ENSDARG00000068415	ENSGT00390000000224
ENSMUSG00000051730	ENSDARG00000068893	ENSGT00390000000227
ENSMUSG00000013698	ENSDARG00000079771	ENSGT00390000000230
ENSMUSG00000030905	ENSDARG00000062817	ENSGT00390000000237
ENSMUSG00000020718	ENSDARG00000074933	ENSGT00390000000244
ENSMUSG00000026239	ENSDARG00000074892	ENSGT00390000000263
ENSMUSG00000019808	ENSDARG00000041944	ENSGT00390000000280
ENSMUSG00000018697	ENSDARG00000025467	ENSGT00390000000288
ENSMUSG00000035754	ENSDARG00000041113	ENSGT00390000000289
ENSMUSG00000022962	ENSDARG00000051855	ENSGT00390000000292
ENSMUSG00000039428	ENSDARG00000069157	ENSGT00390000000303
ENSMUSG00000004268	ENSDARG00000056914	ENSGT00390000000305
ENSMUSG00000063236	ENSDARG00000038556	ENSGT00390000000306
ENSMUSG00000029551	ENSDARG00000030897	ENSGT00390000000324
ENSMUSG00000070394	ENSDARG00000038901	ENSGT00390000000334
ENSMUSG00000036639	ENSDARG00000030573	ENSGT00390000000341
ENSMUSG00000005505	ENSDARG00000069271	ENSGT00390000000361
ENSMUSG00000059920	ENSDARG00000076798	ENSGT00390000000367
ENSMUSG00000020255	ENSDARG00000077926	ENSGT00390000000376
ENSMUSG00000033417	ENSDARG00000021885	ENSGT00390000000403
ENSMUSG00000004880	ENSDARG00000014013	ENSGT00390000000417
ENSMUSG00000037343	ENSDARG00000078045	ENSGT00390000000420
ENSMUSG00000069633	ENSDARG00000025559	ENSGT00390000000427
ENSMUSG00000031534	ENSDARG00000037423	ENSGT00390000000436
ENSMUSG00000030790	ENSDARG00000015263	ENSGT00390000000451
ENSMUSG00000039176	ENSDARG00000060951	ENSGT00390000000453
ENSMUSG00000035125	ENSDARG00000079020	ENSGT00390000000455
ENSMUSG00000022974	ENSDARG00000062361	ENSGT00390000000455
ENSMUSG00000020297	ENSDARG00000053663	ENSGT00390000000483
ENSMUSG00000031562	ENSDARG00000036990	ENSGT00390000000501
ENSMUSG00000056131	ENSDARG00000024654	ENSGT00390000000509
ENSMUSG00000019837	ENSDARG00000043301	ENSGT00390000000510
ENSMUSG00000037331	ENSDARG00000018434	ENSGT00390000000523
ENSMUSG00000025762	ENSDARG00000061169	ENSGT00390000000523
ENSMUSG00000015488	ENSDARG00000090818	ENSGT00390000000529
ENSMUSG00000047617	ENSDARG00000078807	ENSGT00390000000543
ENSMUSG00000059842	ENSDARG00000079749	ENSGT00390000000546
ENSMUSG00000037259	ENSDARG00000055787	ENSGT00390000000549
ENSMUSG00000026927	ENSDARG00000095515	ENSGT00390000000560
ENSMUSG00000058076	ENSDARG00000038608	ENSGT00390000000566
ENSMUSG00000033416	ENSDARG00000068438	ENSGT00390000000571
ENSMUSG00000020128	ENSDARG00000002980	ENSGT00390000000583
ENSMUSG00000079235	ENSDARG00000063451	ENSGT00390000000596
ENSMUSG00000001445	ENSDARG00000045091	ENSGT00390000000603
ENSMUSG00000015597	ENSDARG00000090054	ENSGT00390000000614
ENSMUSG00000030316	ENSDARG00000040113	ENSGT00390000000616
ENSMUSG00000021508	ENSDARG00000056627	ENSGT00390000000618
