Mouse_gene_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000020097	ENSGT00390000000046
ENSMUSG00000030780	ENSGT00390000000050
ENSMUSG00000002949	ENSGT00390000000051
ENSMUSG00000051950	ENSGT00390000000060
ENSMUSG00000046791	ENSGT00390000000083
ENSMUSG00000022724	ENSGT00390000000083
ENSMUSG00000043140	ENSGT00390000000087
ENSMUSG00000030835	ENSGT00390000000089
ENSMUSG00000048439	ENSGT00390000000118
ENSMUSG00000022749	ENSGT00390000000191
ENSMUSG00000038010	ENSGT00390000000217
ENSMUSG00000030772	ENSGT00390000000221
ENSMUSG00000026239	ENSGT00390000000263
ENSMUSG00000019808	ENSGT00390000000280
ENSMUSG00000018697	ENSGT00390000000288
ENSMUSG00000035754	ENSGT00390000000289
ENSMUSG00000004268	ENSGT00390000000305
ENSMUSG00000063236	ENSGT00390000000306
ENSMUSG00000070394	ENSGT00390000000334
ENSMUSG00000022223	ENSGT00390000000337
ENSMUSG00000036639	ENSGT00390000000341
ENSMUSG00000038876	ENSGT00390000000358
ENSMUSG00000005505	ENSGT00390000000361
ENSMUSG00000059920	ENSGT00390000000367
ENSMUSG00000037355	ENSGT00390000000377
ENSMUSG00000020483	ENSGT00390000000378
ENSMUSG00000033417	ENSGT00390000000403
ENSMUSG00000033047	ENSGT00390000000411
ENSMUSG00000069633	ENSGT00390000000427
ENSMUSG00000022960	ENSGT00390000000447
ENSMUSG00000041236	ENSGT00390000000481
ENSMUSG00000027284	ENSGT00390000000491
ENSMUSG00000015488	ENSGT00390000000529
ENSMUSG00000037259	ENSGT00390000000549
ENSMUSG00000020128	ENSGT00390000000583
ENSMUSG00000019054	ENSGT00390000000592
ENSMUSG00000079235	ENSGT00390000000596
ENSMUSG00000001445	ENSGT00390000000603
ENSMUSG00000015597	ENSGT00390000000614
ENSMUSG00000038696	ENSGT00390000000642
ENSMUSG00000029097	ENSGT00390000000645
ENSMUSG00000071324	ENSGT00390000000663
ENSMUSG00000044350	ENSGT00390000000693
ENSMUSG00000005779	ENSGT00390000000698
ENSMUSG00000016181	ENSGT00390000000709
ENSMUSG00000048772	ENSGT00390000000715
ENSMUSG00000073542	ENSGT00390000000781
ENSMUSG00000028622	ENSGT00390000000867
ENSMUSG00000024800	ENSGT00390000000883
ENSMUSG00000024271	ENSGT00390000000916
ENSMUSG00000021619	ENSGT00390000000924
ENSMUSG00000040396	ENSGT00390000000948
ENSMUSG00000034432	ENSGT00390000000977
ENSMUSG00000079334	ENSGT00390000000980
ENSMUSG00000075000	ENSGT00390000000984
ENSMUSG00000038503	ENSGT00390000000993
ENSMUSG00000030323	ENSGT00390000001016
ENSMUSG00000010136	ENSGT00390000001017
ENSMUSG00000042198	ENSGT00390000001029
ENSMUSG00000040269	ENSGT00390000001057
ENSMUSG00000032370	ENSGT00390000001062
ENSMUSG00000026939	ENSGT00390000001064
ENSMUSG00000026649	ENSGT00390000001092
ENSMUSG00000038542	ENSGT00390000001101
ENSMUSG00000026361	ENSGT00390000001114
ENSMUSG00000023939	ENSGT00390000001121
ENSMUSG00000027425	ENSGT00390000001146
ENSMUSG00000034932	ENSGT00390000001201
ENSMUSG00000040658	ENSGT00390000001216
ENSMUSG00000026174	ENSGT00390000001225
ENSMUSG00000052748	ENSGT00390000001254
ENSMUSG00000038683	ENSGT00390000001263
ENSMUSG00000032551	ENSGT00390000001296
ENSMUSG00000060798	ENSGT00390000001301
ENSMUSG00000038208	ENSGT00390000001304
ENSMUSG00000021680	ENSGT00390000001362
ENSMUSG00000038497	ENSGT00390000001394
ENSMUSG00000022471	ENSGT00390000001422
ENSMUSG00000027167	ENSGT00390000001443
ENSMUSG00000003437	ENSGT00390000001474
ENSMUSG00000022682	ENSGT00390000001488
ENSMUSG00000042705	ENSGT00390000001500
ENSMUSG00000048782	ENSGT00390000001511
ENSMUSG00000022370	ENSGT00390000001515
ENSMUSG00000018287	ENSGT00390000001520
ENSMUSG00000028608	ENSGT00390000001523
ENSMUSG00000046947	ENSGT00390000001536
ENSMUSG00000038637	ENSGT00390000001545
ENSMUSG00000019988	ENSGT00390000001561
ENSMUSG00000000876	ENSGT00390000001562
ENSMUSG00000058486	ENSGT00390000001566
ENSMUSG00000015880	ENSGT00390000001577
ENSMUSG00000024082	ENSGT00390000001588
ENSMUSG00000027357	ENSGT00390000001607
ENSMUSG00000031669	ENSGT00390000001622
ENSMUSG00000028261	ENSGT00390000001627
ENSMUSG00000021770	ENSGT00390000001630
ENSMUSG00000020328	ENSGT00390000001644
ENSMUSG00000041733	ENSGT00390000001654
ENSMUSG00000036285	ENSGT00390000001695
ENSMUSG00000025645	ENSGT00390000001709
ENSMUSG00000025937	ENSGT00390000001710
ENSMUSG00000041740	ENSGT00390000001731
ENSMUSG00000024797	ENSGT00390000001738
ENSMUSG00000030034	ENSGT00390000001754
ENSMUSG00000027080	ENSGT00390000001774
ENSMUSG00000026664	ENSGT00390000001775
ENSMUSG00000005883	ENSGT00390000001787
ENSMUSG00000016253	ENSGT00390000001799
ENSMUSG00000022195	ENSGT00390000001801
ENSMUSG00000040374	ENSGT00390000001846
ENSMUSG00000022814	ENSGT00390000001856
ENSMUSG00000009207	ENSGT00390000001859
ENSMUSG00000031157	ENSGT00390000001905
ENSMUSG00000001305	ENSGT00390000001960
ENSMUSG00000019802	ENSGT00390000001965
ENSMUSG00000040888	ENSGT00390000001979
ENSMUSG00000033720	ENSGT00390000002026
ENSMUSG00000037572	ENSGT00390000002030
ENSMUSG00000022701	ENSGT00390000002031
ENSMUSG00000019718	ENSGT00390000002032
ENSMUSG00000024683	ENSGT00390000002038
ENSMUSG00000036376	ENSGT00390000002062
ENSMUSG00000050310	ENSGT00390000002096
ENSMUSG00000007458	ENSGT00390000002109
ENSMUSG00000040359	ENSGT00390000002112
ENSMUSG00000024442	ENSGT00390000002137
ENSMUSG00000028899	ENSGT00390000002144
ENSMUSG00000022837	ENSGT00390000002188
ENSMUSG00000021023	ENSGT00390000002201
ENSMUSG00000034201	ENSGT00390000002205
ENSMUSG00000054520	ENSGT00390000002216
ENSMUSG00000074238	ENSGT00390000002219
ENSMUSG00000020100	ENSGT00390000002232
ENSMUSG00000021185	ENSGT00390000002237
ENSMUSG00000024146	ENSGT00390000002260
ENSMUSG00000041921	ENSGT00390000002284
ENSMUSG00000006519	ENSGT00390000002290
ENSMUSG00000020409	ENSGT00390000002292
ENSMUSG00000081534	ENSGT00390000002307
ENSMUSG00000033009	ENSGT00390000002349
ENSMUSG00000030421	ENSGT00390000002362
ENSMUSG00000030942	ENSGT00390000002365
ENSMUSG00000009535	ENSGT00390000002368
ENSMUSG00000023147	ENSGT00390000002415
ENSMUSG00000040972	ENSGT00390000002421
ENSMUSG00000073775	ENSGT00390000002443
ENSMUSG00000052794	ENSGT00390000002505
ENSMUSG00000039958	ENSGT00390000002528
ENSMUSG00000006021	ENSGT00390000002548
ENSMUSG00000039901	ENSGT00390000002554
ENSMUSG00000041774	ENSGT00390000002575
ENSMUSG00000039887	ENSGT00390000002579
ENSMUSG00000073725	ENSGT00390000002581
ENSMUSG00000022744	ENSGT00390000002596
ENSMUSG00000027642	ENSGT00390000002635
ENSMUSG00000022574	ENSGT00390000002664
ENSMUSG00000016554	ENSGT00390000002667
ENSMUSG00000035944	ENSGT00390000002669
ENSMUSG00000031982	ENSGT00390000002675
ENSMUSG00000038828	ENSGT00390000002693
ENSMUSG00000044700	ENSGT00390000002713
ENSMUSG00000028329	ENSGT00390000002721
ENSMUSG00000025144	ENSGT00390000002725
ENSMUSG00000047656	ENSGT00390000002731
ENSMUSG00000027706	ENSGT00390000002757
ENSMUSG00000020534	ENSGT00390000002762
ENSMUSG00000026526	ENSGT00390000002779
ENSMUSG00000019814	ENSGT00390000002789
ENSMUSG00000028099	ENSGT00390000002799
ENSMUSG00000021497	ENSGT00390000002845
ENSMUSG00000071470	ENSGT00390000002849
ENSMUSG00000040158	ENSGT00390000002877
ENSMUSG00000002343	ENSGT00390000002913
ENSMUSG00000018999	ENSGT00390000002915
ENSMUSG00000045211	ENSGT00390000002931
ENSMUSG00000045854	ENSGT00390000002957
ENSMUSG00000047539	ENSGT00390000002970
ENSMUSG00000036672	ENSGT00390000003044
ENSMUSG00000039128	ENSGT00390000003057
ENSMUSG00000028139	ENSGT00390000003062
ENSMUSG00000078584	ENSGT00390000003084
ENSMUSG00000030788	ENSGT00390000003145
ENSMUSG00000026209	ENSGT00390000003164
ENSMUSG00000033439	ENSGT00390000003182
ENSMUSG00000078442	ENSGT00390000003207
ENSMUSG00000023068	ENSGT00390000003223
ENSMUSG00000031546	ENSGT00390000003246
ENSMUSG00000030720	ENSGT00390000003249
ENSMUSG00000103104	ENSGT00390000003255
ENSMUSG00000092417	ENSGT00390000003292
ENSMUSG00000073077	ENSGT00390000003295
ENSMUSG00000028188	ENSGT00390000003298
ENSMUSG00000066042	ENSGT00390000003312
ENSMUSG00000022174	ENSGT00390000003324
ENSMUSG00000032680	ENSGT00390000003339
ENSMUSG00000027424	ENSGT00390000003349
ENSMUSG00000066892	ENSGT00390000003354
ENSMUSG00000050002	ENSGT00390000003364
ENSMUSG00000040263	ENSGT00390000003374
ENSMUSG00000025410	ENSGT00390000003427
ENSMUSG00000036551	ENSGT00390000003444
ENSMUSG00000045064	ENSGT00390000003459
ENSMUSG00000028690	ENSGT00390000003464
ENSMUSG00000067367	ENSGT00390000003477
ENSMUSG00000055681	ENSGT00390000003478
ENSMUSG00000028159	ENSGT00390000003480
ENSMUSG00000042719	ENSGT00390000003496
ENSMUSG00000034620	ENSGT00390000003526
ENSMUSG00000038268	ENSGT00390000003541
ENSMUSG00000042747	ENSGT00390000003552
ENSMUSG00000001707	ENSGT00390000003564
ENSMUSG00000026585	ENSGT00390000003574
ENSMUSG00000048647	ENSGT00390000003581
ENSMUSG00000039670	ENSGT00390000003596
ENSMUSG00000029029	ENSGT00390000003623
ENSMUSG00000063568	ENSGT00390000003635
ENSMUSG00000015766	ENSGT00390000003646
ENSMUSG00000031753	ENSGT00390000003662
ENSMUSG00000021591	ENSGT00390000003677
ENSMUSG00000049858	ENSGT00390000003749
ENSMUSG00000050043	ENSGT00390000003751
ENSMUSG00000029130	ENSGT00390000003759
ENSMUSG00000016833	ENSGT00390000003791
ENSMUSG00000031143	ENSGT00390000003809
ENSMUSG00000026734	ENSGT00390000003836
