Ohnolog-1 Id	Ohnolog-2 Id	Ohnolog-1 Symbol	Ohnolog-2 Symbol	Synteny Outgroup Support	Combine q-value(self) from all vetebrates	Combine q-value(outgroup) from all vetebrates	q-value from self comparison	Combined q-value for all outgroups	q-value for Amphioxus	q-value for Ciona intestinalis	q-value for Ciona savignyi	q-value for Drosophila	q-value for Sea Urchin	q-value for Worm	Duplication node form Ensembl
ENSMUSG00000050328	ENSMUSG00000038203	Hoxc12	Hoxa13	5	1.252E-009	1.190E-005									Chordata
ENSMUSG00000041460	ENSMUSG00000021991	Cacna2d4	Cacna2d3	5	2.005E-006	0.0097									Euteleostomi
ENSMUSG00000029148	ENSMUSG00000075590	Nrbp1	Nrbp2	5	1.038E-006	0.0001									Vertebrata
ENSMUSG00000057649	ENSMUSG00000031660	Brd9	Brd7	5	1.011E-007	0.0026									Vertebrata
ENSMUSG00000020912	ENSMUSG00000023043	Krt12	Krt18	3	7.163E-011	0.0054									Vertebrata
ENSMUSG00000039092	ENSMUSG00000021036	Sptlc3	Sptlc2	5	1.219E-005	1.294E-006									Vertebrata
ENSMUSG00000030965	ENSMUSG00000035234	Fam175b	Fam175a	1	3.559E-005	0.0063									Euteleostomi
ENSMUSG00000050368	ENSMUSG00000022484	Hoxd10	Hoxc10	3	5.676E-014	6.704E-006									Vertebrata
ENSMUSG00000072214	ENSMUSG00000000486	Sept5	Sept1	3	0.0002	0.0068									Euteleostomi
ENSMUSG00000040632	ENSMUSG00000074622	Nrl	Mafb	5	1.322E-006	0.0046									Euteleostomi
ENSMUSG00000029032	ENSMUSG00000026259	Arhgef16	Ngef	4	0.0003	9.964E-005									Chordata
ENSMUSG00000003410	ENSMUSG00000028546	Elavl3	Elavl4	5	8.821E-006	4.878E-005									Euteleostomi
ENSMUSG00000059647	ENSMUSG00000018666	Gm10068	Cbx1	4	8.437E-010	0.0083									Vertebrata
ENSMUSG00000025903	ENSMUSG00000028670	Lypla1	Lypla2	4	1.637E-005	0.0026									Vertebrata
ENSMUSG00000000305	ENSMUSG00000034774	Cdh4	Dsg1c	2	1.133E-013	0.0067									Chordata
ENSMUSG00000060260	ENSMUSG00000044950	Pwwp2b	Pwwp2a	3	9.745E-009	3.977E-007									Vertebrata
ENSMUSG00000001506	ENSMUSG00000022483	Col1a1	Col2a1	5	5.905E-008	0.0011									Vertebrata
ENSMUSG00000005864	ENSMUSG00000026114	Cnga2	Cnga3	5	0.0002	0.0056									Euteleostomi
ENSMUSG00000031273	ENSMUSG00000067158	Col4a6	Col4a4	5	0.0053	0.0020									Coelomata
ENSMUSG00000019820	ENSMUSG00000000223	Utrn	Drp2	4	0.0008	0.0022									Vertebrata
ENSMUSG00000030844	ENSMUSG00000029101	Rgs10	Rgs12	3	5.050E-013	1.195E-010									Chordata
ENSMUSG00000063229	ENSMUSG00000030246	Ldha	Ldhb	4	3.990E-008	0.0042									Euteleostomi
ENSMUSG00000032515	ENSMUSG00000044636	Csrnp1	Csrnp2	5	0.0005	0.0002									Vertebrata
ENSMUSG00000038187	ENSMUSG00000005936	Btbd10	Kctd20	4	0.0002	0.0077									Vertebrata
ENSMUSG00000024782	ENSMUSG00000028527	Ak3	Ak4	6	1.586E-009	3.100E-008									Euteleostomi
ENSMUSG00000090841	ENSMUSG00000059741	Myl6	Myl3	3	0.0008	0.0013									Vertebrata
ENSMUSG00000003348	ENSMUSG00000028709	Mob3a	Mob3c	4	0.0006	1.421E-005									Vertebrata
ENSMUSG00000031955	ENSMUSG00000021365	Bcar1	Nedd9	4	2.801E-005	0.0032									Euteleostomi
ENSMUSG00000040033	ENSMUSG00000004040	Stat2	Stat3	4	1.147E-005	0.0057									Vertebrata
