Zebrafish_gene_Ensembl_id	Ensembl_gene_tree_id
ENSDARG00000061880	ENSGT00390000000002
ENSDARG00000026651	ENSGT00390000000002
ENSDARG00000029234	ENSGT00390000000018
ENSDARG00000002656	ENSGT00390000000018
ENSDARG00000077740	ENSGT00390000000060
ENSDARG00000073917	ENSGT00390000000060
ENSDARG00000031345	ENSGT00390000000104
ENSDARG00000052903	ENSGT00390000000104
ENSDARG00000010953	ENSGT00390000000111
ENSDARG00000038190	ENSGT00390000000111
ENSDARG00000031461	ENSGT00390000000134
ENSDARG00000036295	ENSGT00390000000134
ENSDARG00000059081	ENSGT00390000000155
ENSDARG00000017213	ENSGT00390000000155
ENSDARG00000001776	ENSGT00390000000214
ENSDARG00000074867	ENSGT00390000000214
ENSDARG00000070683	ENSGT00390000000221
ENSDARG00000077630	ENSGT00390000000221
ENSDARG00000061506	ENSGT00390000000459
ENSDARG00000060025	ENSGT00390000000459
ENSDARG00000006491	ENSGT00390000000536
ENSDARG00000016048	ENSGT00390000000536
ENSDARG00000078041	ENSGT00390000000572
ENSDARG00000063229	ENSGT00390000000572
ENSDARG00000012987	ENSGT00390000000707
ENSDARG00000005161	ENSGT00390000000707
ENSDARG00000029419	ENSGT00390000000756
ENSDARG00000054002	ENSGT00390000000756
ENSDARG00000016396	ENSGT00390000000860
ENSDARG00000013813	ENSGT00390000000860
ENSDARG00000013004	ENSGT00390000000987
ENSDARG00000086450	ENSGT00390000000987
ENSDARG00000069440	ENSGT00390000001134
ENSDARG00000003142	ENSGT00390000001134
ENSDARG00000088227	ENSGT00390000001170
ENSDARG00000079858	ENSGT00390000001170
ENSDARG00000016999	ENSGT00390000001177
ENSDARG00000004328	ENSGT00390000001177
ENSDARG00000067984	ENSGT00390000001195
ENSDARG00000077298	ENSGT00390000001195
ENSDARG00000052555	ENSGT00390000001390
ENSDARG00000007289	ENSGT00390000001390
ENSDARG00000076241	ENSGT00390000001482
ENSDARG00000020594	ENSGT00390000001482
ENSDARG00000036897	ENSGT00390000001630
ENSDARG00000052520	ENSGT00390000001630
ENSDARG00000088723	ENSGT00390000001762
ENSDARG00000010280	ENSGT00390000001762
ENSDARG00000035169	ENSGT00390000001844
ENSDARG00000056835	ENSGT00390000001844
ENSDARG00000063646	ENSGT00390000001859
ENSDARG00000006639	ENSGT00390000001859
ENSDARG00000013087	ENSGT00390000001874
ENSDARG00000010052	ENSGT00390000001874
ENSDARG00000031651	ENSGT00390000002232
ENSDARG00000054447	ENSGT00390000002232
ENSDARG00000026109	ENSGT00390000002307
ENSDARG00000026907	ENSGT00390000002307
ENSDARG00000076861	ENSGT00390000002390
ENSDARG00000071250	ENSGT00390000002390
ENSDARG00000093021	ENSGT00390000002397
ENSDARG00000077470	ENSGT00390000002397
ENSDARG00000062986	ENSGT00390000002533
ENSDARG00000040002	ENSGT00390000002533
