Ohnolog-1 Id	Ohnolog-2 Id	Ohnolog-1 Symbol	Ohnolog-2 Symbol	Synteny Outgroup Support	Combine q-value(self) from all vetebrates	Combine q-value(outgroup) from all vetebrates	q-value from self comparison	Combined q-value for all outgroups	q-value for Amphioxus	q-value for Ciona intestinalis	q-value for Ciona savignyi	q-value for Drosophila	q-value for Sea Urchin	q-value for Worm	Duplication node form Ensembl
ENSMUSG00000050328	ENSMUSG00000038203	Hoxc12	Hoxa13	5	1.252E-009	1.190E-005									Chordata
ENSMUSG00000074505	ENSMUSG00000070047	Fat3	Fat1	5	0.0168	0.0001									Euteleostomi
ENSMUSG00000041460	ENSMUSG00000021991	Cacna2d4	Cacna2d3	5	2.005E-006	0.0097									Euteleostomi
ENSMUSG00000029148	ENSMUSG00000075590	Nrbp1	Nrbp2	5	1.038E-006	0.0001									Vertebrata
ENSMUSG00000079465	ENSMUSG00000079022	Col4a3	Col22a1	2	0.0285	0.0314									
ENSMUSG00000035831	ENSMUSG00000023043	Krt25	Krt18	2	2.463E-010	0.0166									Vertebrata
ENSMUSG00000020125	ENSMUSG00000042385	Elane	Gzmk	2	6.913E-007	0.0452									Euteleostomi
ENSMUSG00000057649	ENSMUSG00000031660	Brd9	Brd7	5	1.011E-007	0.0026									Vertebrata
ENSMUSG00000020912	ENSMUSG00000023043	Krt12	Krt18	3	7.163E-011	0.0054									Vertebrata
ENSMUSG00000096010	ENSMUSG00000069305	Hist4h4	Hist1h4n	3	0.1880	0.0075									Euteleostomi
ENSMUSG00000039092	ENSMUSG00000021036	Sptlc3	Sptlc2	5	1.219E-005	1.294E-006									Vertebrata
ENSMUSG00000030965	ENSMUSG00000035234	Fam175b	Fam175a	1	3.559E-005	0.0063									Euteleostomi
ENSMUSG00000050368	ENSMUSG00000022484	Hoxd10	Hoxc10	3	5.676E-014	6.704E-006									Vertebrata
ENSMUSG00000033998	ENSMUSG00000046410	Kcnk1	Kcnk6	3	0.0057	0.0291									Vertebrata
ENSMUSG00000072214	ENSMUSG00000000486	Sept5	Sept1	3	0.0002	0.0068									Euteleostomi
ENSMUSG00000040632	ENSMUSG00000074622	Nrl	Mafb	5	1.322E-006	0.0046									Euteleostomi
ENSMUSG00000029032	ENSMUSG00000026259	Arhgef16	Ngef	4	0.0003	9.964E-005									Chordata
ENSMUSG00000062421	ENSMUSG00000051853	Arf2	Arf3	4	1.413E-005	0.0224									Vertebrata
ENSMUSG00000003410	ENSMUSG00000028546	Elavl3	Elavl4	5	8.821E-006	4.878E-005									Euteleostomi
ENSMUSG00000058626	ENSMUSG00000054083	Capn11	Capn12	2	0.1995	0.0331									Vertebrata
ENSMUSG00000001870	ENSMUSG00000040488	Ltbp1	Ltbp4	2	0.0007	0.0299									Vertebrata
ENSMUSG00000052429	ENSMUSG00000030350	Prmt1	Prmt8	4	8.698E-005	0.0130									Chordata
ENSMUSG00000059647	ENSMUSG00000018666	Gm10068	Cbx1	4	8.437E-010	0.0083									Vertebrata
ENSMUSG00000044770	ENSMUSG00000000037	Scml4	Scml2	3	0.0149	0.0030									Euteleostomi
ENSMUSG00000018012	ENSMUSG00000033220	Rac3	Rac2	5	1.419E-013	0.0270									Vertebrata
ENSMUSG00000025903	ENSMUSG00000028670	Lypla1	Lypla2	4	1.637E-005	0.0026									Vertebrata
ENSMUSG00000000305	ENSMUSG00000034774	Cdh4	Dsg1c	2	1.133E-013	0.0067									Chordata
ENSMUSG00000030898	ENSMUSG00000029193	Cckbr	Cckar	4	0.0376	0.0050									Euteleostomi
ENSMUSG00000035189	ENSMUSG00000074968	Ano4	Ano3	4	4.884E-007	0.0286									Vertebrata
ENSMUSG00000060260	ENSMUSG00000044950	Pwwp2b	Pwwp2a	3	9.745E-009	3.977E-007									Vertebrata
ENSMUSG00000001506	ENSMUSG00000022483	Col1a1	Col2a1	5	5.905E-008	0.0011									Vertebrata
ENSMUSG00000005864	ENSMUSG00000026114	Cnga2	Cnga3	5	0.0002	0.0056									Euteleostomi
ENSMUSG00000020395	ENSMUSG00000031377	Itk	Bmx	3	0.2505	0.0241									Coelomata
ENSMUSG00000078506	ENSMUSG00000095522	Gm13124	Gm8298	1	1.934E-011	0.0163									Vertebrata
ENSMUSG00000031273	ENSMUSG00000067158	Col4a6	Col4a4	5	0.0053	0.0020									Coelomata
ENSMUSG00000019820	ENSMUSG00000000223	Utrn	Drp2	4	0.0008	0.0022									Vertebrata
ENSMUSG00000030844	ENSMUSG00000029101	Rgs10	Rgs12	3	5.050E-013	1.195E-010									Chordata
ENSMUSG00000063229	ENSMUSG00000030246	Ldha	Ldhb	4	3.990E-008	0.0042									Euteleostomi
ENSMUSG00000032515	ENSMUSG00000044636	Csrnp1	Csrnp2	5	0.0005	0.0002									Vertebrata
ENSMUSG00000038187	ENSMUSG00000005936	Btbd10	Kctd20	4	0.0002	0.0077									Vertebrata
ENSMUSG00000024782	ENSMUSG00000028527	Ak3	Ak4	6	1.586E-009	3.100E-008									Euteleostomi
ENSMUSG00000026180	ENSMUSG00000037944	Cxcr2	Ccr7	2	1.981E-008	0.0121									Vertebrata
ENSMUSG00000024066	ENSMUSG00000079554	Xdh	Aox3l1	4	0.2085	0.0312									Chordata
ENSMUSG00000028385	ENSMUSG00000028007	Snx30	Snx7	4	3.284E-006	0.0334									Vertebrata
ENSMUSG00000052504	ENSMUSG00000028289	Epha3	Epha7	5	8.389E-005	0.0439									Euteleostomi
ENSMUSG00000090841	ENSMUSG00000059741	Myl6	Myl3	3	0.0008	0.0013									Vertebrata
ENSMUSG00000034774	ENSMUSG00000039385	Dsg1c	Cdh6	2	0.0009	0.0376									Chordata
ENSMUSG00000003348	ENSMUSG00000028709	Mob3a	Mob3c	4	0.0006	1.421E-005									Vertebrata
ENSMUSG00000022656	ENSMUSG00000006411	Pvrl3	Pvrl4	3	0.0007	0.0183									Euteleostomi
ENSMUSG00000031955	ENSMUSG00000021365	Bcar1	Nedd9	4	2.801E-005	0.0032									Euteleostomi
ENSMUSG00000020263	ENSMUSG00000040760	Appl2	Appl1	4	0.0049	0.0251									Euteleostomi
ENSMUSG00000055515	ENSMUSG00000095486	Vmn2r81	Vmn2r22	5	0.0619	0.0010									Sarcopterygii
ENSMUSG00000040033	ENSMUSG00000004040	Stat2	Stat3	4	1.147E-005	0.0057									Vertebrata
ENSMUSG00000029681	ENSMUSG00000029438	Bcl7b	Bcl7a	3	7.897E-011	0.0020									Euteleostomi
ENSMUSG00000094672	ENSMUSG00000091805	Vmn2r25	Vmn2r108	4	1.256E-009	0.0330									Sarcopterygii
ENSMUSG00000059901	ENSMUSG00000053441	Adamts14	Adamts19	2	0.0003	0.0258									Chordata
ENSMUSG00000041911	ENSMUSG00000029754	Dlx1	Dlx6	5	7.350E-009	0.0002									Euteleostomi
ENSMUSG00000018363	ENSMUSG00000038780	Smurf2	Smurf1	5	1.833E-006	0.0005									Euteleostomi
ENSMUSG00000047146	ENSMUSG00000040943	Tet1	Tet2	3	1.928E-011	9.963E-005									Euteleostomi
ENSMUSG00000066551	ENSMUSG00000015217	Hmgb1	Hmgb3	4	2.554E-006	8.176E-005									Vertebrata
ENSMUSG00000029673	ENSMUSG00000043323	Auts2	Fbrsl1	1	7.203E-008	0.0473									Euteleostomi
ENSMUSG00000016346	ENSMUSG00000028631	Kcnq2	Kcnq4	3	5.018E-006	0.0186									Vertebrata
ENSMUSG00000025576	ENSMUSG00000008658	Rbfox3	Rbfox1	5	3.569E-010	0.0004									Euteleostomi
ENSMUSG00000020437	ENSMUSG00000035441	Myo1g	Myo1d	3	1.416E-006	0.0055									Euteleostomi
ENSMUSG00000028524	ENSMUSG00000041685	Sgip1	Fcho2	4	7.395E-009	0.0129									Euteleostomi
ENSMUSG00000022738	ENSMUSG00000021095	Gsc2	Gsc	3	0.0004	0.0315									Euteleostomi
ENSMUSG00000001508	ENSMUSG00000004631	Sgca	Sgce	3	1.304E-007	0.0225									Vertebrata
ENSMUSG00000033863	ENSMUSG00000052040	Klf9	Klf13	2	4.214E-006	0.0046									Euteleostomi
ENSMUSG00000042248	ENSMUSG00000066097	Cyp2c37	Cyp2j11	1	0.0053	0.0173									Vertebrata
ENSMUSG00000042492	ENSMUSG00000034412	Tbc1d10b	Tbc1d10a	4	2.101E-008	0.0047									Euteleostomi
ENSMUSG00000020538	ENSMUSG00000022463	Srebf1	Srebf2	3	3.021E-005	0.0264									Vertebrata
ENSMUSG00000019917	ENSMUSG00000058013	Sept10	Sept11	4	0.0052	0.0316									Euteleostomi
ENSMUSG00000040907	ENSMUSG00000007097	Atp1a3	Atp1a2	4	0.0005	0.0015									Vertebrata
ENSMUSG00000019982	ENSMUSG00000017861	Myb	Mybl2	3	2.295E-006	0.0122									Chordata
ENSMUSG00000036885	ENSMUSG00000026259	Arhgef26	Ngef	4	0.0840	0.0020									Chordata
ENSMUSG00000021994	ENSMUSG00000027840	Wnt5a	Wnt2b	2	3.135E-005	0.0114									Vertebrata
ENSMUSG00000040434	ENSMUSG00000004383	Gyltl1b	Large	4	0.0002	0.0380									Euteleostomi
ENSMUSG00000027634	ENSMUSG00000036564	Ndrg3	Ndrg4	5	5.376E-007	0.0002									Vertebrata
ENSMUSG00000022096	ENSMUSG00000053470	Hr	Kdm3a	4	0.0669	0.0026									Vertebrata
ENSMUSG00000026202	ENSMUSG00000023004	Tuba4a	Tuba1b	4	7.784E-007	0.0349									Euteleostomi
ENSMUSG00000039521	ENSMUSG00000030067	Foxp3	Foxp1	4	2.556E-006	0.0002									Vertebrata
ENSMUSG00000019905	ENSMUSG00000094145	Gprc6a	Vmn2r20	3	0.0588	0.0165									Chordata
ENSMUSG00000019461	ENSMUSG00000032369	Plscr3	Plscr1	4	0.0007	0.0463									Euteleostomi
ENSMUSG00000024044	ENSMUSG00000028906	Epb4.1l3	Epb4.1	4	0.0028	0.0094									Euteleostomi
