ENSG00000163697	ENSDARG00000061880	ENSDARG00000026651	ENSGT00390000000002
ENSG00000164506	ENSDARG00000002656	ENSDARG00000029234	ENSGT00390000000018
ENSG00000187676	ENSDARG00000073917	ENSDARG00000077740	ENSGT00390000000060
ENSG00000114993	ENSDARG00000052903	ENSDARG00000031345	ENSGT00390000000104
ENSG00000166579	ENSDARG00000010953	ENSDARG00000038190	ENSGT00390000000111
ENSG00000155265	ENSDARG00000031461	ENSDARG00000036295	ENSGT00390000000134
ENSG00000146250	ENSDARG00000017213	ENSDARG00000059081	ENSGT00390000000155
ENSG00000109689	ENSDARG00000074867	ENSDARG00000001776	ENSGT00390000000214
ENSG00000050165	ENSDARG00000070683	ENSDARG00000077630	ENSGT00390000000221
ENSG00000165802	ENSDARG00000061506	ENSDARG00000060025	ENSGT00390000000459
ENSG00000082898	ENSDARG00000078041	ENSDARG00000063229	ENSGT00390000000572
ENSG00000105220	ENSDARG00000005161	ENSDARG00000012987	ENSGT00390000000707
ENSG00000189159	ENSDARG00000029419	ENSDARG00000054002	ENSGT00390000000756
ENSG00000164970	ENSDARG00000016396	ENSDARG00000013813	ENSGT00390000000860
ENSG00000139372	ENSDARG00000013004	ENSDARG00000086450	ENSGT00390000000987
ENSG00000276644	ENSDARG00000003142	ENSDARG00000069440	ENSGT00390000001134
ENSG00000131914	ENSDARG00000004328	ENSDARG00000016999	ENSGT00390000001177
ENSG00000180447	ENSDARG00000067984	ENSDARG00000077298	ENSGT00390000001195
ENSG00000176845	ENSDARG00000007289	ENSDARG00000052555	ENSGT00390000001390
ENSG00000164440	ENSDARG00000020594	ENSDARG00000076241	ENSGT00390000001482
ENSG00000164023	ENSDARG00000036897	ENSDARG00000052520	ENSGT00390000001630
ENSG00000074054	ENSDARG00000088723	ENSDARG00000010280	ENSGT00390000001762
ENSG00000204381	ENSDARG00000035169	ENSDARG00000056835	ENSGT00390000001844
ENSG00000144320	ENSDARG00000063646	ENSDARG00000006639	ENSGT00390000001859
ENSG00000112759	ENSDARG00000054447	ENSDARG00000031651	ENSGT00390000002232
ENSG00000211584	ENSDARG00000026907	ENSDARG00000026109	ENSGT00390000002307
ENSG00000163472	ENSDARG00000076861	ENSDARG00000071250	ENSGT00390000002390
ENSG00000143340	ENSDARG00000093021	ENSDARG00000077470	ENSGT00390000002397
ENSG00000130653	ENSDARG00000040002	ENSDARG00000062986	ENSGT00390000002533
ENSG00000132613	ENSDARG00000028943	ENSDARG00000087260	ENSGT00390000002637
ENSG00000182389	ENSDARG00000009738	ENSDARG00000062174	ENSGT00390000002740
ENSG00000179178	ENSDARG00000075980	ENSDARG00000073768	ENSGT00390000003015
ENSG00000163939	ENSDARG00000003877	ENSDARG00000077038	ENSGT00390000003017
ENSG00000167588	ENSDARG00000043180	ENSDARG00000043701	ENSGT00390000003114
ENSG00000169764	ENSDARG00000008200	ENSDARG00000005578	ENSGT00390000003174
ENSG00000130204	ENSDARG00000036721	ENSDARG00000092112	ENSGT00390000003308
ENSG00000137073	ENSDARG00000088318	ENSDARG00000060065	ENSGT00390000003453
ENSG00000154429	ENSDARG00000040085	ENSDARG00000025325	ENSGT00390000003512
ENSG00000055813	ENSDARG00000039497	ENSDARG00000005343	ENSGT00390000003531
ENSG00000187094	ENSDARG00000070810	ENSDARG00000038634	ENSGT00390000003571
ENSG00000075945	ENSDARG00000008639	ENSDARG00000006862	ENSGT00390000003574
ENSG00000153814	ENSDARG00000036243	ENSDARG00000056793	ENSGT00390000003635
ENSG00000198758	ENSDARG00000005704	ENSDARG00000077296	ENSGT00390000003646
ENSG00000108798	ENSDARG00000060072	ENSDARG00000063283	ENSGT00390000003756
ENSG00000121653	ENSDARG00000091191	ENSDARG00000090326	ENSGT00390000003908
ENSG00000158079	ENSDARG00000061656	ENSDARG00000058873	ENSGT00390000004113
