Mouse_gene_Ensembl_id	Zebrafish_ortholog1_Ensembl_id	Zebrafish_ortholog2_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000029207	ENSDARG00000026651	ENSDARG00000061880	ENSGT00390000000002
ENSMUSG00000019790	ENSDARG00000002656	ENSDARG00000029234	ENSGT00390000000018
ENSMUSG00000051950	ENSDARG00000073917	ENSDARG00000077740	ENSGT00390000000060
ENSMUSG00000034930	ENSDARG00000052903	ENSDARG00000031345	ENSGT00390000000104
ENSMUSG00000018736	ENSDARG00000038190	ENSDARG00000010953	ENSGT00390000000111
ENSMUSG00000042532	ENSDARG00000031461	ENSDARG00000036295	ENSGT00390000000134
ENSMUSG00000033491	ENSDARG00000059081	ENSDARG00000017213	ENSGT00390000000155
ENSMUSG00000039156	ENSDARG00000074867	ENSDARG00000001776	ENSGT00390000000214
ENSMUSG00000030772	ENSDARG00000077630	ENSDARG00000070683	ENSGT00390000000221
ENSMUSG00000006476	ENSDARG00000060025	ENSDARG00000061506	ENSGT00390000000459
ENSMUSG00000020290	ENSDARG00000063229	ENSDARG00000078041	ENSGT00390000000572
ENSMUSG00000020737	ENSDARG00000054002	ENSDARG00000029419	ENSGT00390000000756
ENSMUSG00000028439	ENSDARG00000016396	ENSDARG00000013813	ENSGT00390000000860
ENSMUSG00000034674	ENSDARG00000086450	ENSDARG00000013004	ENSGT00390000000987
ENSMUSG00000055639	ENSDARG00000003142	ENSDARG00000069440	ENSGT00390000001134
ENSMUSG00000050966	ENSDARG00000016999	ENSDARG00000004328	ENSGT00390000001177
ENSMUSG00000052957	ENSDARG00000067984	ENSDARG00000077298	ENSGT00390000001195
ENSMUSG00000039208	ENSDARG00000007289	ENSDARG00000052555	ENSGT00390000001390
ENSMUSG00000039891	ENSDARG00000020594	ENSDARG00000076241	ENSGT00390000001482
ENSMUSG00000050931	ENSDARG00000036897	ENSDARG00000052520	ENSGT00390000001630
ENSMUSG00000064302	ENSDARG00000010280	ENSDARG00000088723	ENSGT00390000001762
ENSMUSG00000060594	ENSDARG00000056835	ENSDARG00000035169	ENSGT00390000001844
ENSMUSG00000009207	ENSDARG00000063646	ENSDARG00000006639	ENSGT00390000001859
ENSMUSG00000023942	ENSDARG00000031651	ENSDARG00000054447	ENSGT00390000002232
ENSMUSG00000081534	ENSDARG00000026907	ENSDARG00000026109	ENSGT00390000002307
ENSMUSG00000001420	ENSDARG00000071250	ENSDARG00000076861	ENSGT00390000002390
ENSMUSG00000015484	ENSDARG00000093021	ENSDARG00000077470	ENSGT00390000002397
ENSMUSG00000036833	ENSDARG00000040002	ENSDARG00000062986	ENSGT00390000002533
ENSMUSG00000033763	ENSDARG00000087260	ENSDARG00000028943	ENSGT00390000002637
ENSMUSG00000017412	ENSDARG00000009738	ENSDARG00000062174	ENSGT00390000002740
ENSMUSG00000050854	ENSDARG00000073768	ENSDARG00000075980	ENSGT00390000003015
ENSMUSG00000042323	ENSDARG00000077038	ENSDARG00000003877	ENSGT00390000003017
ENSMUSG00000023019	ENSDARG00000043701	ENSDARG00000043180	ENSGT00390000003114
ENSMUSG00000001891	ENSDARG00000005578	ENSDARG00000008200	ENSGT00390000003174
ENSMUSG00000002984	ENSDARG00000092112	ENSDARG00000036721	ENSGT00390000003308
ENSMUSG00000028433	ENSDARG00000060065	ENSDARG00000088318	ENSGT00390000003453
ENSMUSG00000031971	ENSDARG00000040085	ENSDARG00000025325	ENSGT00390000003512
ENSMUSG00000032878	ENSDARG00000005343	ENSDARG00000039497	ENSGT00390000003531
ENSMUSG00000032532	ENSDARG00000038634	ENSDARG00000070810	ENSGT00390000003571
ENSMUSG00000026585	ENSDARG00000006862	ENSDARG00000008639	ENSGT00390000003574
ENSMUSG00000063568	ENSDARG00000036243	ENSDARG00000056793	ENSGT00390000003635
ENSMUSG00000040600	ENSDARG00000005704	ENSDARG00000077296	ENSGT00390000003646
ENSMUSG00000050043	ENSDARG00000079122	ENSDARG00000007786	ENSGT00390000003751
ENSMUSG00000018381	ENSDARG00000060072	ENSDARG00000063283	ENSGT00390000003756
ENSMUSG00000027223	ENSDARG00000090326	ENSDARG00000091191	ENSGT00390000003908
ENSMUSG00000038042	ENSDARG00000061656	ENSDARG00000058873	ENSGT00390000004113
ENSMUSG00000037933	ENSDARG00000075571	ENSDARG00000079184	ENSGT00390000004114
ENSMUSG00000041762	ENSDARG00000090804	ENSDARG00000071086	ENSGT00390000004153
ENSMUSG00000066568	ENSDARG00000006600	ENSDARG00000011408	ENSGT00390000004174
ENSMUSG00000022255	ENSDARG00000014159	ENSDARG00000004939	ENSGT00390000004343
ENSMUSG00000000134	ENSDARG00000019457	ENSDARG00000004729	ENSGT00390000004402
ENSMUSG00000066043	ENSDARG00000015552	ENSDARG00000032221	ENSGT00390000004420
ENSMUSG00000014177	ENSDARG00000001804	ENSDARG00000057060	ENSGT00390000004428
ENSMUSG00000032328	ENSDARG00000030236	ENSDARG00000043555	ENSGT00390000004660
ENSMUSG00000045326	ENSDARG00000077096	ENSDARG00000087524	ENSGT00390000004674
ENSMUSG00000028786	ENSDARG00000059247	ENSDARG00000035875	ENSGT00390000004700
ENSMUSG00000019528	ENSDARG00000059391	ENSDARG00000011934	ENSGT00390000004721
ENSMUSG00000046807	ENSDARG00000091128	ENSDARG00000074308	ENSGT00390000004841
ENSMUSG00000056665	ENSDARG00000037345	ENSDARG00000059795	ENSGT00390000004859
ENSMUSG00000021608	ENSDARG00000077671	ENSDARG00000011506	ENSGT00390000004914
ENSMUSG00000001334	ENSDARG00000035895	ENSDARG00000069739	ENSGT00390000004923
ENSMUSG00000038552	ENSDARG00000009949	ENSDARG00000043396	ENSGT00390000004923
ENSMUSG00000038023	ENSDARG00000035565	ENSDARG00000035538	ENSGT00390000004941
ENSMUSG00000019302	ENSDARG00000020847	ENSDARG00000015174	ENSGT00390000004941
ENSMUSG00000009291	ENSDARG00000040039	ENSDARG00000090156	ENSGT00390000004977
ENSMUSG00000038467	ENSDARG00000016255	ENSDARG00000007323	ENSGT00390000005006
ENSMUSG00000023026	ENSDARG00000016348	ENSDARG00000005350	ENSGT00390000005268
ENSMUSG00000028655	ENSDARG00000035909	ENSDARG00000030630	ENSGT00390000005318
ENSMUSG00000025481	ENSDARG00000068644	ENSDARG00000089331	ENSGT00390000005321
ENSMUSG00000000394	ENSDARG00000079296	ENSDARG00000040907	ENSGT00390000005372
ENSMUSG00000031015	ENSDARG00000051819	ENSDARG00000057286	ENSGT00390000005512
ENSMUSG00000038893	ENSDARG00000078640	ENSDARG00000079252	ENSGT00390000005655
ENSMUSG00000027438	ENSDARG00000069101	ENSDARG00000013669	ENSGT00390000005826
ENSMUSG00000038949	ENSDARG00000042759	ENSDARG00000086283	ENSGT00390000005861
ENSMUSG00000014813	ENSDARG00000058476	ENSDARG00000003303	ENSGT00390000005989
ENSMUSG00000018126	ENSDARG00000016483	ENSDARG00000060933	ENSGT00390000005995
ENSMUSG00000038859	ENSDARG00000031119	ENSDARG00000029305	ENSGT00390000005995
ENSMUSG00000025372	ENSDARG00000062799	ENSDARG00000060587	ENSGT00390000005995
ENSMUSG00000018770	ENSDARG00000009447	ENSDARG00000017775	ENSGT00390000006210
ENSMUSG00000029651	ENSDARG00000062347	ENSDARG00000074984	ENSGT00390000006245
ENSMUSG00000021037	ENSDARG00000011127	ENSDARG00000028664	ENSGT00390000006429
ENSMUSG00000038116	ENSDARG00000038737	ENSDARG00000002750	ENSGT00390000006451
ENSMUSG00000029270	ENSDARG00000062955	ENSDARG00000061362	ENSGT00390000006452
ENSMUSG00000021719	ENSDARG00000016742	ENSDARG00000060601	ENSGT00390000006968
ENSMUSG00000007950	ENSDARG00000076620	ENSDARG00000079719	ENSGT00390000007336
