Mouse_gene_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000020536	ENSGT00390000000018
ENSMUSG00000020782	ENSGT00390000000018
ENSMUSG00000042109	ENSGT00390000000022
ENSMUSG00000037846	ENSGT00390000000104
ENSMUSG00000033491	ENSGT00390000000155
ENSMUSG00000022974	ENSGT00390000000455
ENSMUSG00000035125	ENSGT00390000000455
ENSMUSG00000002342	ENSGT00390000000672
ENSMUSG00000031021	ENSGT00390000000819
ENSMUSG00000026411	ENSGT00390000000819
ENSMUSG00000030086	ENSGT00390000000903
ENSMUSG00000053768	ENSGT00390000000903
ENSMUSG00000019982	ENSGT00390000001038
ENSMUSG00000023000	ENSGT00390000001117
ENSMUSG00000050966	ENSGT00390000001177
ENSMUSG00000020774	ENSGT00390000001189
ENSMUSG00000028165	ENSGT00390000001233
ENSMUSG00000024847	ENSGT00390000001289
ENSMUSG00000006134	ENSGT00390000001475
ENSMUSG00000013150	ENSGT00390000001507
ENSMUSG00000051335	ENSGT00390000001507
ENSMUSG00000069867	ENSGT00390000001517
ENSMUSG00000003948	ENSGT00390000001574
ENSMUSG00000025374	ENSGT00390000001913
ENSMUSG00000026107	ENSGT00390000001913
ENSMUSG00000060519	ENSGT00390000001920
ENSMUSG00000059555	ENSGT00390000001920
ENSMUSG00000009563	ENSGT00390000001920
ENSMUSG00000035105	ENSGT00390000001936
ENSMUSG00000058709	ENSGT00390000001936
ENSMUSG00000021474	ENSGT00390000002026
ENSMUSG00000066735	ENSGT00390000002103
ENSMUSG00000024667	ENSGT00390000002170
ENSMUSG00000025505	ENSGT00390000002170
ENSMUSG00000038132	ENSGT00390000002308
ENSMUSG00000064105	ENSGT00390000002383
ENSMUSG00000009876	ENSGT00390000002407
ENSMUSG00000019848	ENSGT00390000002563
ENSMUSG00000020078	ENSGT00390000002588
ENSMUSG00000031988	ENSGT00390000002588
ENSMUSG00000017412	ENSGT00390000002740
ENSMUSG00000043461	ENSGT00390000002766
ENSMUSG00000020169	ENSGT00390000002997
ENSMUSG00000037418	ENSGT00390000002997
ENSMUSG00000030407	ENSGT00390000003107
ENSMUSG00000024084	ENSGT00390000003107
ENSMUSG00000010067	ENSGT00390000003367
ENSMUSG00000039131	ENSGT00390000003420
ENSMUSG00000034872	ENSGT00390000003420
ENSMUSG00000061654	ENSGT00390000003535
ENSMUSG00000035953	ENSGT00390000003680
ENSMUSG00000028221	ENSGT00390000003680
ENSMUSG00000030082	ENSGT00390000003721
ENSMUSG00000018381	ENSGT00390000003756
ENSMUSG00000026782	ENSGT00390000003756
ENSMUSG00000025094	ENSGT00390000003851
ENSMUSG00000036330	ENSGT00390000003851
ENSMUSG00000028847	ENSGT00390000003880
ENSMUSG00000029094	ENSGT00390000003998
ENSMUSG00000033032	ENSGT00390000003998
ENSMUSG00000010830	ENSGT00390000004010
ENSMUSG00000039108	ENSGT00390000004174
ENSMUSG00000023990	ENSGT00390000004402
ENSMUSG00000014837	ENSGT00390000004417
ENSMUSG00000009647	ENSGT00390000004496
ENSMUSG00000027994	ENSGT00390000004496
ENSMUSG00000022753	ENSGT00390000004660
ENSMUSG00000009214	ENSGT00390000004668
ENSMUSG00000035273	ENSGT00390000004874
ENSMUSG00000031903	ENSGT00390000004902
ENSMUSG00000021608	ENSGT00390000004914
ENSMUSG00000027134	ENSGT00390000004914
ENSMUSG00000019302	ENSGT00390000004941
ENSMUSG00000026223	ENSGT00390000005162
ENSMUSG00000056214	ENSGT00390000005255
ENSMUSG00000025509	ENSGT00390000005295
ENSMUSG00000043286	ENSGT00390000005295
ENSMUSG00000040818	ENSGT00390000005529
ENSMUSG00000062995	ENSGT00390000005530
ENSMUSG00000029198	ENSGT00390000005589
ENSMUSG00000029638	ENSGT00390000005655
ENSMUSG00000041040	ENSGT00390000005655
ENSMUSG00000038893	ENSGT00390000005655
ENSMUSG00000001508	ENSGT00390000005672
ENSMUSG00000038569	ENSGT00390000005767
ENSMUSG00000024824	ENSGT00390000005767
ENSMUSG00000023926	ENSGT00390000005787
ENSMUSG00000003934	ENSGT00390000005839
ENSMUSG00000050967	ENSGT00390000005914
ENSMUSG00000046876	ENSGT00390000005939
ENSMUSG00000030741	ENSGT00390000005976
ENSMUSG00000032514	ENSGT00390000005979
ENSMUSG00000014813	ENSGT00390000005989
ENSMUSG00000020303	ENSGT00390000005989
ENSMUSG00000018126	ENSGT00390000005995
ENSMUSG00000038859	ENSGT00390000005995
ENSMUSG00000035151	ENSGT00390000006017
ENSMUSG00000041986	ENSGT00390000006017
ENSMUSG00000029344	ENSGT00390000006030
ENSMUSG00000035275	ENSGT00390000006046
ENSMUSG00000030220	ENSGT00390000006233
ENSMUSG00000073433	ENSGT00390000006233
ENSMUSG00000025402	ENSGT00390000006330
ENSMUSG00000002881	ENSGT00390000006330
ENSMUSG00000021037	ENSGT00390000006429
ENSMUSG00000038702	ENSGT00390000006522
ENSMUSG00000023030	ENSGT00390000006526
ENSMUSG00000021118	ENSGT00390000006543
ENSMUSG00000090121	ENSGT00390000006625
ENSMUSG00000032046	ENSGT00390000006625
ENSMUSG00000020519	ENSGT00390000006633
ENSMUSG00000027593	ENSGT00390000006718
ENSMUSG00000021362	ENSGT00390000006777
ENSMUSG00000022012	ENSGT00390000006788
ENSMUSG00000031109	ENSGT00390000006788
ENSMUSG00000031425	ENSGT00390000006915
ENSMUSG00000010307	ENSGT00390000007101
ENSMUSG00000032575	ENSGT00390000007160
ENSMUSG00000039496	ENSGT00390000007160
ENSMUSG00000028822	ENSGT00390000007434
ENSMUSG00000000811	ENSGT00390000007578
ENSMUSG00000016386	ENSGT00390000007681
ENSMUSG00000030410	ENSGT00390000007686
ENSMUSG00000050860	ENSGT00390000007741
ENSMUSG00000027088	ENSGT00390000007741
ENSMUSG00000022999	ENSGT00390000007809
ENSMUSG00000039886	ENSGT00390000007848
ENSMUSG00000033684	ENSGT00390000008045
ENSMUSG00000036327	ENSGT00390000008045
ENSMUSG00000025232	ENSGT00390000008107
ENSMUSG00000021665	ENSGT00390000008107
ENSMUSG00000042254	ENSGT00390000008152
ENSMUSG00000038605	ENSGT00390000008161
ENSMUSG00000058656	ENSGT00390000008161
ENSMUSG00000028618	ENSGT00390000008279
ENSMUSG00000032435	ENSGT00390000008295
ENSMUSG00000024293	ENSGT00390000008335
ENSMUSG00000026857	ENSGT00390000008371
ENSMUSG00000040113	ENSGT00390000008371
ENSMUSG00000026858	ENSGT00390000008565
ENSMUSG00000054942	ENSGT00390000008565
