Entry	Gene names	Subunit structure [CC]
Q61151	Ppp2r5e Kiaa4006	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of a 36 kDa catalytic subunit (subunit C) and a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules. Interacts with SGO1. Found in a complex with at least ARL2, PPP2CB; PPP2R1A, PPP2R2A, PPP2R5E and TBCD (By similarity). {ECO:0000250}.
Q60996	Ppp2r5c	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of PPP2CA a 36 kDa catalytic subunit (subunit C) and PPP2R1A a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules. Interacts with SGO1 (By similarity). Interacts with SGO1; the interaction is direct. May interact with TP53 (By similarity). Interacts with IER3 and/or ERK kinases; regulates ERK dephosphorylation (By similarity). {ECO:0000250}.
O35469	Hsd3b6	
Q80VV3	Eif4ebp3	SUBUNIT: EIF4EBP3 interacts with EIF4E. {ECO:0000250|UniProtKB:O60516}.
Q9EST3	Eif4enif1 Clast4	SUBUNIT: Interacts with EIF4E. Interacts with importin beta only in presence of importin alpha, suggesting a direct interaction with importin alpha (By similarity). Interacts with APOBEC3G in an RNA-dependent manner (By similarity). {ECO:0000250}.
P10852	Slc3a2 Mdu1	SUBUNIT: Disulfide-linked heterodimer of a glycosylated heavy chain and a non-glycosylated light chain (SLC7A5, SLC7A6, SLCA7A7, SLC7A8, SLC7A10 or SLCA7A11). Colocalizes with cadherins (By similarity). Interacts with FAM57A/CT120 and ICAM1 (By similarity). Constitutively and specifically associates with beta-1 integrins (alpha-2/beta-1, alpha-3/beta-1, alpha-5/beta-1 and alpha-6/beta-1), but minimally with alpha-4/beta-1 (By similarity). {ECO:0000250}.
Q64264	Htr1a Gpcr18	SUBUNIT: Heterodimer; heterodimerizes with GPER1. {ECO:0000250}.
Q63805	Orm3 Agp-3 Orm-3	
P07758	Serpina1a Dom1 Spi1-1	
Q5YD48	A1cf Acf Asp	SUBUNIT: Part of the apolipoprotein B mRNA editing complex with APOBEC1. Interacts with TNPO2; TNPO2 may be responsible for transport of A1CF into the nucleus. Interacts with SYNCRIP. Interacts with CELF2/CUGBP2 (By similarity). {ECO:0000250}.
Q60612	Adora1	
Q60614	Adora2b	
Q9D2R0	Aacs	
Q9D1A0	Aaed1	
Q8R2R3	Aagab	SUBUNIT: Associated with AP-1 and AP-2 complexes. {ECO:0000250}.
Q8BGM7	Prkag3	SUBUNIT: AMPK is a heterotrimer of an alpha catalytic subunit (PRKAA1 or PRKAA2), a beta (PRKAB1 or PRKAB2) and a gamma non-catalytic subunits (PRKAG1, PRKAG2 or PRKAG3). Interacts with FNIP1 and FNIP2 (By similarity). {ECO:0000250}.
Q8R0P4	Aamdc	
Q5EG47	Prkaa1	SUBUNIT: AMPK is a heterotrimer of an alpha catalytic subunit (PRKAA1 or PRKAA2), a beta (PRKAB1 or PRKAB2) and a gamma non-catalytic subunits (PRKAG1, PRKAG2 or PRKAG3). Interacts with FNIP1 and FNIP2.
Q8BRK8	Prkaa2	SUBUNIT: AMPK is a heterotrimer of an alpha catalytic subunit (PRKAA1 or PRKAA2), a beta (PRKAB1 or PRKAB2) and a gamma non-catalytic subunits (PRKAG1, PRKAG2 or PRKAG3). Interacts with FNIP1 and FNIP2 (By similarity). {ECO:0000250}.
Q8K448	Abca5 Kiaa1888	
Q8K441	Abca6	
E9PX95	Abca17	
Q9QY30	Abcb11 Bsep Spgp	SUBUNIT: Interacts with HAX1. {ECO:0000250}.
Q99P81	Abcg3	SUBUNIT: May dimerize with another subunit to form a functional transporter.
Q99J72	Apobec3	SUBUNIT: Homodimer. Interacts with mouse mammary tumor virus (MMTV) nucleocapsid protein p14. {ECO:0000269|PubMed:17020885, ECO:0000269|PubMed:17259974}.
Q9QZC8	Abhd1 Labh1	
Q9DBL9	Abhd5	SUBUNIT: Interacts with ADRP (By similarity). Interacts with PLIN. Interacts with and PNPLA2. Interacts with PLIN5; promotes interaction with PNPLA2. {ECO:0000250, ECO:0000269|PubMed:15292255, ECO:0000269|PubMed:16679289, ECO:0000269|PubMed:19064991, ECO:0000269|PubMed:21148142}.
Q4JIM5	Abl2 Arg	SUBUNIT: Interacts with PSMA7. Interacts with CTTN (By similarity). Found in a complex with ABL1, ABL2, CRK and UNC119; leading to the inhibition of CRK phosphorylation by ABL kinases (By similarity). {ECO:0000250}.
Q8K4G5	Ablim1 Ablim Kiaa0059	SUBUNIT: Binds F-actin. Interacts with ABRA (By similarity). {ECO:0000250}.
Q9D7B6	Acad8	SUBUNIT: Homotetramer, formed by a dimer of dimers. Subunit of the large multiprotein complex ARC/DRIP (By similarity). {ECO:0000250}.
P50544	Acadvl Vlcad	SUBUNIT: Homodimer. {ECO:0000250}.
Q8K2H4	Acap1 Centb1 Kiaa0050	SUBUNIT: Banana-shaped homodimer laterally assembling into tetramers, the tetramers further pack helically onto the membrane. Interacts with GTP-bound ARF6. Interacts with third cytoplasmic loop of SLC2A4/GLUT4. Interacts with CLTC. Interacts with GULP1. Forms a complex with GDP-bound ARF6 and GULP1. Interacts with ITGB1; required for ITGB1 recycling. {ECO:0000250|UniProtKB:Q15027, ECO:0000269|PubMed:17664335}.
Q9D258	Acbd7	
Q76MZ3	Ppp2r1a	SUBUNIT: PP2A consists of a common heterodimeric core enzyme, composed of PPP2CA a 36 kDa catalytic subunit (subunit C) and PPP2R1A a 65 kDa constant regulatory subunit (PR65 or subunit A), that associates with a variety of regulatory subunits. Proteins that associate with the core dimer include three families of regulatory subunits B (the R2/B/PR55/B55, R3/B''/PR72/PR130/PR59 and R5/B'/B56 families), the 48 kDa variable regulatory subunit, viral proteins, and cell signaling molecules. Interacts with IPO9. Interacts with TP53 and SGO1. Found in a complex with at least ARL2, PPP2CB, PPP2R1A, PPP2R2A, PPP2R5E and TBCD (By similarity). Interacts with PLA2G16; this interaction might decrease PP2A activity (By similarity). Interacts with FOXO1; the interaction dephosphorylates FOXO1 on AKT-mediated phosphoylation sites. Interacts with CTTNBP2NL (By similarity). {ECO:0000250}.
