Ohnolog-1 Id	Ohnolog-2 Id	Ohnolog-1 Symbol	Ohnolog-2 Symbol	Synteny Outgroup Support	Combine q-value(self) from all vetebrates	Combine q-value(outgroup) from all vetebrates	q-value from self comparison	Combined q-value for all outgroups	q-value for Amphioxus	q-value for Ciona intestinalis	q-value for Ciona savignyi	q-value for Drosophila	q-value for Sea Urchin	q-value for Worm	Duplication node form Ensembl
ENSMUSG00000050328	ENSMUSG00000038203	Hoxc12	Hoxa13	5	1.252E-009	1.190E-005									Chordata
ENSMUSG00000074505	ENSMUSG00000070047	Fat3	Fat1	5	0.0168	0.0001									Euteleostomi
ENSMUSG00000037263	ENSMUSG00000010025	1700055N04Rik	Aldh3a2	5	0.3860	0.0001									Vertebrata
ENSMUSG00000041460	ENSMUSG00000021991	Cacna2d4	Cacna2d3	5	2.005E-006	0.0097									Euteleostomi
ENSMUSG00000029148	ENSMUSG00000075590	Nrbp1	Nrbp2	5	1.038E-006	0.0001									Vertebrata
ENSMUSG00000095961	ENSMUSG00000091572	Vmn2r102	Vmn2r3	3	0.0009	0.1677									Chordata
ENSMUSG00000079465	ENSMUSG00000079022	Col4a3	Col22a1	2	0.0285	0.0314									
ENSMUSG00000035831	ENSMUSG00000023043	Krt25	Krt18	2	2.463E-010	0.0166									Vertebrata
ENSMUSG00000020125	ENSMUSG00000042385	Elane	Gzmk	2	6.913E-007	0.0452									Euteleostomi
ENSMUSG00000057649	ENSMUSG00000031660	Brd9	Brd7	5	1.011E-007	0.0026									Vertebrata
ENSMUSG00000020912	ENSMUSG00000023043	Krt12	Krt18	3	7.163E-011	0.0054									Vertebrata
ENSMUSG00000026303	ENSMUSG00000041794	Mlph	Myrip	1	2.154E-006	0.4677									Euteleostomi
ENSMUSG00000096010	ENSMUSG00000069305	Hist4h4	Hist1h4n	3	0.1880	0.0075									Euteleostomi
ENSMUSG00000039092	ENSMUSG00000021036	Sptlc3	Sptlc2	5	1.219E-005	1.294E-006									Vertebrata
ENSMUSG00000030965	ENSMUSG00000035234	Fam175b	Fam175a	1	3.559E-005	0.0063									Euteleostomi
ENSMUSG00000015354	ENSMUSG00000022098	Pcolce2	Bmp1	3	0.5005	0.0338									Chordata
ENSMUSG00000034573	ENSMUSG00000021940	Ptpn13	Ptpn20	1	3.510E-014	0.1979									Coelomata
ENSMUSG00000050368	ENSMUSG00000022484	Hoxd10	Hoxc10	3	5.676E-014	6.704E-006									Vertebrata
ENSMUSG00000033998	ENSMUSG00000046410	Kcnk1	Kcnk6	3	0.0057	0.0291									Vertebrata
ENSMUSG00000072214	ENSMUSG00000000486	Sept5	Sept1	3	0.0002	0.0068									Euteleostomi
ENSMUSG00000040632	ENSMUSG00000074622	Nrl	Mafb	5	1.322E-006	0.0046									Euteleostomi
ENSMUSG00000029032	ENSMUSG00000026259	Arhgef16	Ngef	4	0.0003	9.964E-005									Chordata
ENSMUSG00000062421	ENSMUSG00000051853	Arf2	Arf3	4	1.413E-005	0.0224									Vertebrata
ENSMUSG00000003410	ENSMUSG00000028546	Elavl3	Elavl4	5	8.821E-006	4.878E-005									Euteleostomi
ENSMUSG00000079349	ENSMUSG00000064129	Magea5	Gm14781	2	8.381E-013	0.2471									Chordata
ENSMUSG00000058626	ENSMUSG00000054083	Capn11	Capn12	2	0.1995	0.0331									Vertebrata
ENSMUSG00000019461	ENSMUSG00000032372	Plscr3	Plscr2	2	0.0007	0.0624									Euteleostomi
ENSMUSG00000001870	ENSMUSG00000040488	Ltbp1	Ltbp4	2	0.0007	0.0299									Vertebrata
ENSMUSG00000052429	ENSMUSG00000030350	Prmt1	Prmt8	4	8.698E-005	0.0130									Chordata
ENSMUSG00000024008	ENSMUSG00000052560	Cpne5	Cpne8	1	0.0037	0.1155									Euteleostomi
ENSMUSG00000078779	ENSMUSG00000055341	Zfp59	Zfp457	3	0.0022	0.1689									
ENSMUSG00000059647	ENSMUSG00000018666	Gm10068	Cbx1	4	8.437E-010	0.0083									Vertebrata
ENSMUSG00000044770	ENSMUSG00000000037	Scml4	Scml2	3	0.0149	0.0030									Euteleostomi
ENSMUSG00000036887	ENSMUSG00000058914	C1qa	C1qtnf3	1	0.0001	0.1240									Chordata
ENSMUSG00000018012	ENSMUSG00000033220	Rac3	Rac2	5	1.419E-013	0.0270									Vertebrata
ENSMUSG00000090659	ENSMUSG00000096916	Zfp493	Gm4636	1	0.0098	0.4846									
ENSMUSG00000025903	ENSMUSG00000028670	Lypla1	Lypla2	4	1.637E-005	0.0026									Vertebrata
ENSMUSG00000000305	ENSMUSG00000034774	Cdh4	Dsg1c	2	1.133E-013	0.0067									Chordata
ENSMUSG00000030898	ENSMUSG00000029193	Cckbr	Cckar	4	0.0376	0.0050									Euteleostomi
ENSMUSG00000035189	ENSMUSG00000074968	Ano4	Ano3	4	4.884E-007	0.0286									Vertebrata
ENSMUSG00000060260	ENSMUSG00000044950	Pwwp2b	Pwwp2a	3	9.745E-009	3.977E-007									Vertebrata
ENSMUSG00000026358	ENSMUSG00000059810	Rgs1	Rgs3	3	2.510E-013	0.0741									Coelomata
ENSMUSG00000089943	ENSMUSG00000054630	Ugt1a5	Ugt2b5	1	0.0005	0.1177									Vertebrata
ENSMUSG00000050840	ENSMUSG00000024331	Cdh20	Dsc2	1	0.0017	0.4925									Chordata
ENSMUSG00000001506	ENSMUSG00000022483	Col1a1	Col2a1	5	5.905E-008	0.0011									Vertebrata
ENSMUSG00000043953	ENSMUSG00000037944	Ccrl2	Ccr7	2	1.339E-006	0.0508									Vertebrata
ENSMUSG00000005864	ENSMUSG00000026114	Cnga2	Cnga3	5	0.0002	0.0056									Euteleostomi
ENSMUSG00000020395	ENSMUSG00000031377	Itk	Bmx	3	0.2505	0.0241									Coelomata
ENSMUSG00000039878	ENSMUSG00000025986	Slc39a5	Slc39a10	1	2.943E-009	0.4867									Euteleostomi
ENSMUSG00000078506	ENSMUSG00000095522	Gm13124	Gm8298	1	1.934E-011	0.0163									Vertebrata
ENSMUSG00000031273	ENSMUSG00000067158	Col4a6	Col4a4	5	0.0053	0.0020									Coelomata
ENSMUSG00000019820	ENSMUSG00000000223	Utrn	Drp2	4	0.0008	0.0022									Vertebrata
ENSMUSG00000079350	ENSMUSG00000067649	Magea8	Mageb18	2	1.206E-012	0.2471									Chordata
ENSMUSG00000030844	ENSMUSG00000029101	Rgs10	Rgs12	3	5.050E-013	1.195E-010									Chordata
ENSMUSG00000063229	ENSMUSG00000030246	Ldha	Ldhb	4	3.990E-008	0.0042									Euteleostomi
ENSMUSG00000032515	ENSMUSG00000044636	Csrnp1	Csrnp2	5	0.0005	0.0002									Vertebrata
ENSMUSG00000038187	ENSMUSG00000005936	Btbd10	Kctd20	4	0.0002	0.0077									Vertebrata
ENSMUSG00000024782	ENSMUSG00000028527	Ak3	Ak4	6	1.586E-009	3.100E-008									Euteleostomi
ENSMUSG00000026180	ENSMUSG00000037944	Cxcr2	Ccr7	2	1.981E-008	0.0121									Vertebrata
ENSMUSG00000064225	ENSMUSG00000096792	Paqr9	AC102388.1	1	0.0004	0.4251									Chordata
ENSMUSG00000024066	ENSMUSG00000079554	Xdh	Aox3l1	4	0.2085	0.0312									Chordata
ENSMUSG00000028385	ENSMUSG00000028007	Snx30	Snx7	4	3.284E-006	0.0334									Vertebrata
ENSMUSG00000052504	ENSMUSG00000028289	Epha3	Epha7	5	8.389E-005	0.0439									Euteleostomi
ENSMUSG00000090841	ENSMUSG00000059741	Myl6	Myl3	3	0.0008	0.0013									Vertebrata
ENSMUSG00000034774	ENSMUSG00000039385	Dsg1c	Cdh6	2	0.0009	0.0376									Chordata
ENSMUSG00000003348	ENSMUSG00000028709	Mob3a	Mob3c	4	0.0006	1.421E-005									Vertebrata
ENSMUSG00000022656	ENSMUSG00000006411	Pvrl3	Pvrl4	3	0.0007	0.0183									Euteleostomi
ENSMUSG00000031955	ENSMUSG00000021365	Bcar1	Nedd9	4	2.801E-005	0.0032									Euteleostomi
ENSMUSG00000034165	ENSMUSG00000070348	Ccnd3	Ccnd1	2	0.0065	0.0985									Vertebrata
ENSMUSG00000096630	ENSMUSG00000096717	Vmn2r26	Vmn2r98	3	1.107E-009	0.0826									Sarcopterygii
ENSMUSG00000091491	ENSMUSG00000068999	Vmn2r97	Vmn2r5	3	0.0009	0.1677									Chordata
ENSMUSG00000011752	ENSMUSG00000020475	Pgam1	Pgam2	2	0.0031	0.0539									Euteleostomi
ENSMUSG00000020263	ENSMUSG00000040760	Appl2	Appl1	4	0.0049	0.0251									Euteleostomi
ENSMUSG00000055515	ENSMUSG00000095486	Vmn2r81	Vmn2r22	5	0.0619	0.0010									Sarcopterygii
ENSMUSG00000058806	ENSMUSG00000063564	Col13a1	Col23a1	3	5.147E-006	0.0902									Chordata
ENSMUSG00000040033	ENSMUSG00000004040	Stat2	Stat3	4	1.147E-005	0.0057									Vertebrata
ENSMUSG00000002279	ENSMUSG00000022614	Lmf1	Lmf2	2	9.467E-005	0.1490									Chordata
ENSMUSG00000029681	ENSMUSG00000029438	Bcl7b	Bcl7a	3	7.897E-011	0.0020									Euteleostomi
ENSMUSG00000094672	ENSMUSG00000091805	Vmn2r25	Vmn2r108	4	1.256E-009	0.0330									Sarcopterygii
ENSMUSG00000059901	ENSMUSG00000053441	Adamts14	Adamts19	2	0.0003	0.0258									Chordata
ENSMUSG00000041911	ENSMUSG00000029754	Dlx1	Dlx6	5	7.350E-009	0.0002									Euteleostomi
ENSMUSG00000018363	ENSMUSG00000038780	Smurf2	Smurf1	5	1.833E-006	0.0005									Euteleostomi
ENSMUSG00000047146	ENSMUSG00000040943	Tet1	Tet2	3	1.928E-011	9.963E-005									Euteleostomi
ENSMUSG00000066551	ENSMUSG00000015217	Hmgb1	Hmgb3	4	2.554E-006	8.176E-005									Vertebrata
