ENSMUSG00000018574	P50544	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000001588	Q8K2H4	SUBUNIT: Banana-shaped homodimer laterally assembling into tetramers, the tetramers further pack helically onto the membrane. Interacts with GTP-bound ARF6. Interacts with third cytoplasmic loop of SLC2A4/GLUT4. Interacts with CLTC. Interacts with GULP1. Forms a complex with GDP-bound ARF6 and GULP1. Interacts with ITGB1; required for ITGB1 recycling. {ECO:0000250|UniProtKB:Q15027, ECO:0000269|PubMed:17664335}.
ENSMUSG00000028961	Q9DCD0	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000028127	P55096	SUBUNIT: Homodimer or heterodimer (Potential). Interacts with PEX19 (By similarity). {ECO:0000250, ECO:0000305}.
ENSMUSG00000062908	P45952	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000049511	P28334	SUBUNIT: Homodimer. Heterodimer with HTR1D (By similarity). {ECO:0000250}.
ENSMUSG00000032420	Q61503	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000026198	Q9DC29	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000021240	O89016	SUBUNIT: Homodimer or heterodimer. {ECO:0000305}.
ENSMUSG00000020917	Q91V92	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000017307	P58137	SUBUNIT: homodimer. {ECO:0000269|PubMed:11673457}.
ENSMUSG00000076432	P68254	SUBUNIT: Homodimer (By similarity). Interacts with CDKN1B ('Thr-198' phosphorylated form); the interaction translocates CDKN1B to the cytoplasm. Interacts with SSH1 (By similarity). Interacts with GAB2. Interacts with RGS7 (phosphorylated form) (By similarity). Interacts with CDK16 (PubMed:9197417). Interacts with the 'Ser-241' phosphorylated form of PDPK1 (By similarity). Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). {ECO:0000250|UniProtKB:P27348, ECO:0000269|PubMed:26047703, ECO:0000269|PubMed:9197417}.
ENSMUSG00000025041	Q3V1L4	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000040613	P51908	SUBUNIT: Homodimer. Part of the apolipoprotein B mRNA editing complex with APC. Interacts with HNRPAB and SYNCRIP. {ECO:0000250|UniProtKB:P41238}.
ENSMUSG00000030861	Q9DBL1	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000030525	P49582	SUBUNIT: Homopentamer. Interacts with RIC3; which is required for proper folding and assembly (By similarity). {ECO:0000250}.
ENSMUSG00000044337	P56485	SUBUNIT: Homodimer. Can form heterodimers with CXCR4; heterodimerization may regulate CXCR4 signaling activity (By similarity).Interacts with ARRB1 and ARRB2 (By similarity). {ECO:0000250}.
ENSMUSG00000020849	P62259	SUBUNIT: Homodimer (By similarity). Heterodimerizes with YWHAZ (By similarity). Interacts with PKA-phosphorylated AANAT (By similarity). Interacts with ABL1 (phosphorylated form); the interaction retains it in the cytoplasm (By similarity). Interacts with ARHGEF28 (PubMed:11533041). Interacts with BEX3 (PubMed:11278287). Weakly interacts with CDKN1B (By similarity). Interacts with the 'Thr-369' phosphorylated form of DAPK2 (PubMed:26047703). Interacts with DENND1A (By similarity). Interacts with GAB2 (By similarity). Interacts with phosphorylated GRB10 (PubMed:15722337). Interacts with KSR1 (PubMed:10409742). Interacts with NDEL1 (PubMed:12796778). Interacts with PI4KB, TBC1D22A and TBC1D22B (By similarity). Interacts with the phosphorylated (by AKT1) form of SRPK2 (By similarity). Interacts with TIAM2 (PubMed:17320046). Interacts with the 'Ser-1134' and 'Ser-1161' phosphorylated form of SOS1 (By similarity). {ECO:0000250|UniProtKB:P62258, ECO:0000250|UniProtKB:P62260, ECO:0000269|PubMed:10409742, ECO:0000269|PubMed:11278287, ECO:0000269|PubMed:11533041, ECO:0000269|PubMed:12796778, ECO:0000269|PubMed:15722337, ECO:0000269|PubMed:17320046, ECO:0000269|PubMed:26047703}.
ENSMUSG00000029695	Q99K67	SUBUNIT: Homodimer.
ENSMUSG00000039720	Q7TSV6	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000029408	Q9JJ59	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000040694	Q9WV35	SUBUNIT: Homotetramer. {ECO:0000250|UniProtKB:Q9Y235}.
