Ensembl Gene ID	Homology Type	Rat Ensembl Gene ID	Ancestor	dN	dS
ENSMUSG00000064372					
ENSMUSG00000064371					
ENSMUSG00000064370	ortholog_one2one	ENSRNOG00000031766	Murinae	0.02840	1.89310
ENSMUSG00000064369					
ENSMUSG00000064368	ortholog_one2one	ENSRNOG00000029042	Murinae	0.09870	2.47520
ENSMUSG00000064367	ortholog_one2many	ENSRNOG00000029971	Murinae	0.10930	4.38210
ENSMUSG00000064366					
ENSMUSG00000064365					
ENSMUSG00000064364					
ENSMUSG00000064363	ortholog_one2one	ENSRNOG00000029707	Murinae	0.07270	3.33780
ENSMUSG00000065947	ortholog_one2one	ENSRNOG00000031053	Murinae	0.06720	1.53120
ENSMUSG00000064361					
ENSMUSG00000064360	ortholog_one2one	ENSRNOG00000033615	Murinae	0.09450	4.17650
ENSMUSG00000064359					
ENSMUSG00000064358	ortholog_one2one	ENSRNOG00000030700	Murinae	0.01380	2.77770
ENSMUSG00000064357	ortholog_one2one	ENSRNOG00000031979	Murinae	0.02300	2.00640
ENSMUSG00000064356	ortholog_one2one	ENSRNOG00000033299	Murinae	0.15050	1.04770
ENSMUSG00000064355					
ENSMUSG00000064354	ortholog_one2one	ENSRNOG00000030371	Murinae	0.00380	1.89290
ENSMUSG00000064353					
ENSMUSG00000064352					
ENSMUSG00000064351	ortholog_one2one	ENSRNOG00000034234	Murinae	0.00880	2.02320
ENSMUSG00000064350					
ENSMUSG00000064349					
ENSMUSG00000064348					
ENSMUSG00000064347					
ENSMUSG00000064346					
ENSMUSG00000064345	ortholog_one2one	ENSRNOG00000031033	Murinae	0.13940	10.86080
ENSMUSG00000064344					
ENSMUSG00000064343					
ENSMUSG00000064342					
ENSMUSG00000064341	ortholog_one2one	ENSRNOG00000030644	Murinae	0.03630	4.73380
ENSMUSG00000064340					
ENSMUSG00000064339					
ENSMUSG00000064338					
ENSMUSG00000064337					
ENSMUSG00000064336					
ENSMUSG00000051777					
ENSMUSG00000008438					
ENSMUSG00000102067					
ENSMUSG00000086670					
ENSMUSG00000081320					
ENSMUSG00000082347					
ENSMUSG00000102585					
ENSMUSG00000074305	ortholog_one2one	ENSRNOG00000042519	Murinae	0.02330	0.16770
ENSMUSG00000056904					
ENSMUSG00000103464					
ENSMUSG00000104311					
ENSMUSG00000081054					
ENSMUSG00000082737					
ENSMUSG00000064057	ortholog_one2one	ENSRNOG00000002718	Murinae	0.05280	0.07150
ENSMUSG00000037683	ortholog_one2one	ENSRNOG00000016716	Murinae	0.03200	0.19980
ENSMUSG00000024011	ortholog_one2one	ENSRNOG00000000525	Murinae	0.06280	0.16760
ENSMUSG00000102562					
ENSMUSG00000102575					
ENSMUSG00000048349	ortholog_one2one	ENSRNOG00000009669	Murinae	0.00010	0.13710
ENSMUSG00000067321					
ENSMUSG00000103916					
ENSMUSG00000078182					
ENSMUSG00000020381	ortholog_one2one	ENSRNOG00000003068	Murinae	0.09200	0.17110
ENSMUSG00000087613					
ENSMUSG00000083773					
ENSMUSG00000086600					
ENSMUSG00000102208					
ENSMUSG00000094221	ortholog_many2many	ENSRNOG00000048104	Murinae	0.14800	0.21970
ENSMUSG00000094221	ortholog_many2many	ENSRNOG00000048505	Murinae	0.14490	0.21280
ENSMUSG00000094221	ortholog_many2many	ENSRNOG00000049710	Murinae	0.14830	0.23150
ENSMUSG00000040867	ortholog_one2many	ENSRNOG00000004650	Murinae	0.04380	0.31460
ENSMUSG00000089800					
ENSMUSG00000092035					
ENSMUSG00000084366					
ENSMUSG00000103645					
ENSMUSG00000103417					
ENSMUSG00000103733					
ENSMUSG00000074442	ortholog_one2many	ENSRNOG00000030524	Murinae	0.27760	0.27980
ENSMUSG00000098061					
ENSMUSG00000102265					
ENSMUSG00000089956					
ENSMUSG00000100325					
ENSMUSG00000100098					
ENSMUSG00000096294	ortholog_many2many	ENSRNOG00000015707	Murinae	0.20330	0.42850
ENSMUSG00000096294	ortholog_many2many	ENSRNOG00000025168	Murinae	0.13060	0.27970
ENSMUSG00000096294	ortholog_many2many	ENSRNOG00000002641	Murinae	0.16990	0.30630
ENSMUSG00000096701					
ENSMUSG00000019370	ortholog_one2one	ENSRNOG00000048082	Boreoeutheria	0.06350	3.48090
ENSMUSG00000002032	ortholog_one2one	ENSRNOG00000014218	Murinae	0.00400	0.11370
ENSMUSG00000084825					
ENSMUSG00000101180					
ENSMUSG00000104184					
ENSMUSG00000095629	ortholog_many2many	ENSRNOG00000033061	Murinae	0.12500	0.21440
