Zebrafish_gene_Ensembl_id	Ensembl_gene_tree_id
ENSDARG00000076560	ENSGT00390000000002
ENSDARG00000053771	ENSGT00390000000002
ENSDARG00000006383	ENSGT00390000000018
ENSDARG00000009693	ENSGT00390000000018
ENSDARG00000023920	ENSGT00390000000018
ENSDARG00000019732	ENSGT00390000000020
ENSDARG00000053129	ENSGT00390000000022
ENSDARG00000057006	ENSGT00390000000023
ENSDARG00000061375	ENSGT00390000000046
ENSDARG00000043601	ENSGT00390000000053
ENSDARG00000013438	ENSGT00390000000062
ENSDARG00000020043	ENSGT00390000000080
ENSDARG00000032116	ENSGT00390000000080
ENSDARG00000067838	ENSGT00390000000083
ENSDARG00000074264	ENSGT00390000000087
ENSDARG00000078592	ENSGT00390000000089
ENSDARG00000059866	ENSGT00390000000097
ENSDARG00000053558	ENSGT00390000000104
ENSDARG00000054060	ENSGT00390000000141
ENSDARG00000039347	ENSGT00390000000153
ENSDARG00000055786	ENSGT00390000000155
ENSDARG00000012039	ENSGT00390000000159
ENSDARG00000063445	ENSGT00390000000182
ENSDARG00000073786	ENSGT00390000000183
ENSDARG00000044357	ENSGT00390000000191
ENSDARG00000046061	ENSGT00390000000204
ENSDARG00000094590	ENSGT00390000000212
ENSDARG00000060723	ENSGT00390000000214
ENSDARG00000004307	ENSGT00390000000220
ENSDARG00000068415	ENSGT00390000000224
ENSDARG00000068893	ENSGT00390000000227
ENSDARG00000079771	ENSGT00390000000230
ENSDARG00000062817	ENSGT00390000000237
ENSDARG00000074933	ENSGT00390000000244
ENSDARG00000074892	ENSGT00390000000263
ENSDARG00000041944	ENSGT00390000000280
ENSDARG00000025467	ENSGT00390000000288
ENSDARG00000041113	ENSGT00390000000289
ENSDARG00000051855	ENSGT00390000000292
ENSDARG00000069157	ENSGT00390000000303
ENSDARG00000056914	ENSGT00390000000305
ENSDARG00000038556	ENSGT00390000000306
ENSDARG00000030897	ENSGT00390000000324
ENSDARG00000038901	ENSGT00390000000334
ENSDARG00000030573	ENSGT00390000000341
ENSDARG00000063663	ENSGT00390000000344
ENSDARG00000069271	ENSGT00390000000361
ENSDARG00000076798	ENSGT00390000000367
ENSDARG00000077926	ENSGT00390000000376
ENSDARG00000058454	ENSGT00390000000378
ENSDARG00000021885	ENSGT00390000000403
ENSDARG00000014013	ENSGT00390000000417
ENSDARG00000078045	ENSGT00390000000420
ENSDARG00000025559	ENSGT00390000000427
ENSDARG00000037423	ENSGT00390000000436
ENSDARG00000015263	ENSGT00390000000451
ENSDARG00000060951	ENSGT00390000000453
ENSDARG00000079020	ENSGT00390000000455
ENSDARG00000062361	ENSGT00390000000455
ENSDARG00000074588	ENSGT00390000000464
ENSDARG00000033889	ENSGT00390000000472
ENSDARG00000053663	ENSGT00390000000483
ENSDARG00000036008	ENSGT00390000000483
ENSDARG00000042261	ENSGT00390000000491
ENSDARG00000036990	ENSGT00390000000501
ENSDARG00000024654	ENSGT00390000000509
ENSDARG00000043301	ENSGT00390000000510
ENSDARG00000040303	ENSGT00390000000521
ENSDARG00000018434	ENSGT00390000000523
ENSDARG00000061169	ENSGT00390000000523
ENSDARG00000090818	ENSGT00390000000529
ENSDARG00000078807	ENSGT00390000000543
ENSDARG00000079749	ENSGT00390000000546
ENSDARG00000055787	ENSGT00390000000549
ENSDARG00000095515	ENSGT00390000000560
ENSDARG00000038608	ENSGT00390000000566
ENSDARG00000068438	ENSGT00390000000571
ENSDARG00000002980	ENSGT00390000000583
ENSDARG00000063451	ENSGT00390000000596
ENSDARG00000045091	ENSGT00390000000603
ENSDARG00000090054	ENSGT00390000000614
ENSDARG00000040113	ENSGT00390000000616
ENSDARG00000056627	ENSGT00390000000618
ENSDARG00000090230	ENSGT00390000000626
ENSDARG00000091777	ENSGT00390000000642
ENSDARG00000033957	ENSGT00390000000645
ENSDARG00000022660	ENSGT00390000000663
ENSDARG00000012790	ENSGT00390000000672
ENSDARG00000055989	ENSGT00390000000672
ENSDARG00000044565	ENSGT00390000000673
ENSDARG00000077983	ENSGT00390000000684
ENSDARG00000007867	ENSGT00390000000685
ENSDARG00000022564	ENSGT00390000000687
ENSDARG00000076914	ENSGT00390000000693
ENSDARG00000041115	ENSGT00390000000694
ENSDARG00000090444	ENSGT00390000000694
